topo,num_flows,seed,scheduler,is_scheduled,consuming_time
DiGraph with 10 nodes and 18 edges,10,7026,smt,True,1.2467613220214844
DiGraph with 10 nodes and 18 edges,10,7027,smt,True,4.298930406570435
DiGraph with 10 nodes and 18 edges,10,7028,smt,True,2.2206461429595947
DiGraph with 10 nodes and 18 edges,10,7029,smt,True,1.9282751083374023
DiGraph with 10 nodes and 18 edges,10,7030,smt,True,2.2854743003845215
DiGraph with 10 nodes and 18 edges,10,7031,smt,True,1.5894362926483154
DiGraph with 10 nodes and 18 edges,10,7032,smt,True,1.4949109554290771
DiGraph with 10 nodes and 18 edges,10,7033,smt,True,1.4407603740692139
DiGraph with 10 nodes and 18 edges,10,7034,smt,True,1.3477931022644043
DiGraph with 10 nodes and 18 edges,10,7035,smt,True,1.9502367973327637
DiGraph with 10 nodes and 18 edges,20,7026,smt,True,8.922614336013794
DiGraph with 10 nodes and 18 edges,20,7027,smt,True,12.756135940551758
DiGraph with 10 nodes and 18 edges,20,7028,smt,True,7.437156438827515
DiGraph with 10 nodes and 18 edges,20,7029,smt,True,9.51499605178833
DiGraph with 10 nodes and 18 edges,20,7030,smt,True,10.352824211120605
DiGraph with 10 nodes and 18 edges,20,7031,smt,True,9.951997518539429
DiGraph with 10 nodes and 18 edges,20,7032,smt,True,8.658355712890625
DiGraph with 10 nodes and 18 edges,20,7033,smt,True,6.982310056686401
DiGraph with 10 nodes and 18 edges,20,7034,smt,True,13.218536376953125
DiGraph with 10 nodes and 18 edges,20,7035,smt,True,6.994786739349365
DiGraph with 10 nodes and 18 edges,30,7026,smt,True,25.093414306640625
DiGraph with 10 nodes and 18 edges,30,7027,smt,True,33.05797338485718
DiGraph with 10 nodes and 18 edges,30,7028,smt,True,25.205695629119873
DiGraph with 10 nodes and 18 edges,30,7029,smt,True,21.536060571670532
DiGraph with 10 nodes and 18 edges,30,7030,smt,True,22.735699892044067
DiGraph with 10 nodes and 18 edges,30,7031,smt,True,20.947880268096924
DiGraph with 10 nodes and 18 edges,30,7032,smt,True,19.5550057888031
DiGraph with 10 nodes and 18 edges,30,7033,smt,True,17.775819301605225
DiGraph with 10 nodes and 18 edges,30,7034,smt,True,32.47540760040283
DiGraph with 10 nodes and 18 edges,30,7035,smt,True,22.740760803222656
DiGraph with 10 nodes and 18 edges,40,7026,smt,True,50.35736608505249
DiGraph with 10 nodes and 18 edges,40,7027,smt,True,59.93006348609924
DiGraph with 10 nodes and 18 edges,40,7028,smt,True,79.16054439544678
DiGraph with 10 nodes and 18 edges,40,7029,smt,True,43.892418384552
DiGraph with 10 nodes and 18 edges,40,7030,smt,True,49.51367115974426
DiGraph with 10 nodes and 18 edges,40,7031,smt,True,52.04052925109863
DiGraph with 10 nodes and 18 edges,40,7032,smt,True,47.88472127914429
DiGraph with 10 nodes and 18 edges,40,7033,smt,True,57.36958622932434
DiGraph with 10 nodes and 18 edges,40,7034,smt,True,64.42668771743774
DiGraph with 10 nodes and 18 edges,40,7035,smt,True,41.942397117614746
DiGraph with 10 nodes and 18 edges,50,7026,smt,True,89.04098892211914
DiGraph with 10 nodes and 18 edges,50,7027,smt,True,150.2560498714447
DiGraph with 10 nodes and 18 edges,50,7028,smt,True,209.66532111167908
DiGraph with 10 nodes and 18 edges,50,7029,smt,True,74.54590630531311
DiGraph with 10 nodes and 18 edges,50,7030,smt,True,88.17892551422119
DiGraph with 10 nodes and 18 edges,50,7031,smt,True,134.36472487449646
DiGraph with 10 nodes and 18 edges,50,7032,smt,True,90.97897791862488
DiGraph with 10 nodes and 18 edges,50,7033,smt,True,96.20277905464172
DiGraph with 10 nodes and 18 edges,50,7034,smt,True,129.93890953063965
DiGraph with 10 nodes and 18 edges,50,7035,smt,True,91.95358562469482
DiGraph with 10 nodes and 18 edges,10,7026,smt_no_wait,True,1.3007323741912842
DiGraph with 10 nodes and 18 edges,10,7027,smt_no_wait,True,4.692673921585083
DiGraph with 10 nodes and 18 edges,10,7028,smt_no_wait,True,2.349163770675659
DiGraph with 10 nodes and 18 edges,10,7029,smt_no_wait,True,2.0462069511413574
DiGraph with 10 nodes and 18 edges,10,7030,smt_no_wait,True,2.3985755443573
DiGraph with 10 nodes and 18 edges,10,7031,smt_no_wait,True,1.66023850440979
DiGraph with 10 nodes and 18 edges,10,7032,smt_no_wait,True,1.5970497131347656
DiGraph with 10 nodes and 18 edges,10,7033,smt_no_wait,True,1.5465433597564697
DiGraph with 10 nodes and 18 edges,10,7034,smt_no_wait,True,1.4447102546691895
DiGraph with 10 nodes and 18 edges,10,7035,smt_no_wait,True,2.072356700897217
DiGraph with 10 nodes and 18 edges,20,7026,smt_no_wait,True,9.621583223342896
DiGraph with 10 nodes and 18 edges,20,7027,smt_no_wait,True,14.384073495864868
DiGraph with 10 nodes and 18 edges,20,7028,smt_no_wait,True,7.7494635581970215
DiGraph with 10 nodes and 18 edges,20,7029,smt_no_wait,True,10.64070463180542
DiGraph with 10 nodes and 18 edges,20,7030,smt_no_wait,True,11.234397649765015
DiGraph with 10 nodes and 18 edges,20,7031,smt_no_wait,True,11.186819314956665
DiGraph with 10 nodes and 18 edges,20,7032,smt_no_wait,True,9.59858226776123
DiGraph with 10 nodes and 18 edges,20,7033,smt_no_wait,True,7.481762647628784
DiGraph with 10 nodes and 18 edges,20,7034,smt_no_wait,True,14.533087491989136
DiGraph with 10 nodes and 18 edges,20,7035,smt_no_wait,True,7.559056282043457
DiGraph with 10 nodes and 18 edges,30,7026,smt_no_wait,True,27.523638486862183
DiGraph with 10 nodes and 18 edges,30,7027,smt_no_wait,True,36.2856023311615
DiGraph with 10 nodes and 18 edges,30,7028,smt_no_wait,True,25.357601642608643
