#{"t_start": 1690165731.7241838, "env_id": "None"}
r,l,t
244.907422,255,187.433727
245.375703,255,517.158209
243.648203,255,692.546036
246.45875,255,1022.175751
245.100234,255,1353.804204
245.136562,255,1529.973683
244.664531,255,1863.889725
245.550937,255,2196.282923
246.413516,255,2583.912042
247.659922,255,2858.871941
108.482491,118,2989.077987
113.028429,122,2994.02072
21.855937,24,3122.199886
32.460513,36,3123.654923
33.31895,36,3124.952897
109.026241,119,3254.445527
45.401763,51,3256.365241
20.615937,24,3257.293224
62.445064,70,3387.0683
45.384263,51,3389.19127
21.48375,24,3390.145615
21.290312,24,3390.975783
110.615304,122,3522.965003
32.1952,36,3524.284147
21.654687,24,3525.354523
20.829687,24,3653.281638
108.789366,122,3657.833312
21.29875,24,3784.515895
108.633116,119,3789.174148
107.633116,119,3919.190327
107.392491,119,4048.999518
108.241241,118,4179.445802
45.796138,51,4410.140331
46.704888,51,4412.2612
46.545825,51,4558.239345
108.984991,122,4563.347414
22.030312,24,4708.574366
47.084888,51,4710.745114
45.32145,51,4713.00938
21.615937,24,4714.12737
107.953429,119,4864.066581
111.834054,122,5015.278473
32.6777,36,5016.820381
47.219575,51,5019.162734
46.24145,51,5164.968041
64.008189,70,5168.013173
110.626554,122,5316.773963
108.483741,118,5466.123988
21.473125,24,5467.064644
21.469062,24,5468.079331
110.072491,122,5617.683311
108.011866,118,5766.508168
113.298116,122,5771.891608
47.113638,51,5918.180353
110.587491,118,5923.244761
109.031866,118,6072.257705
109.854991,121,6221.345619
21.24375,24,6222.387209
21.619062,24,6223.291254
110.127491,121,6603.435147
20.8375,24,6604.358359
107.075616,118,6687.178152
111.293116,122,6769.783919
47.225825,51,6772.317834
45.422075,51,6774.568042
110.096866,118,6857.533783
21.569375,24,6858.591912
109.102804,118,6941.458174
109.732804,119,7025.10524
113.463429,122,7107.834791
108.066241,118,7113.262205
32.890513,36,7191.905861
112.059991,121,7197.401258
113.482179,122,7280.43067
111.744679,118,7364.533302
22.03375,24,7365.722565
109.268116,119,7448.168869
109.927179,118,7530.869144
21.247187,24,7531.886767
20.8375,24,7532.916543
64.564751,70,7536.198453
66.070376,70,7617.871073
22.278125,24,7619.006943
110.819054,121,7702.823209
114.368116,122,7974.693033
111.544679,122,7980.721172
110.071241,119,8018.255688
112.752491,122,8056.232867
113.656241,122,8093.786627
109.297491,118,8099.914326
109.885304,119,8137.544725
111.455616,122,8175.316186
108.173741,119,8213.027061
109.604991,118,8219.019816
109.836241,118,8256.85134
110.568116,119,8294.025805
47.079888,51,8296.540972
109.132804,118,8334.889531
22.196562,24,8335.952721
109.887179,118,8373.450984
109.119991,119,8411.058184
109.432804,118,8448.368151
47.576138,51,8450.870244
110.860616,118,8716.442126
113.183429,121,8722.920526
110.098741,119,8755.420655
111.425616,119,8788.114592
112.995929,122,8821.316644
112.017804,121,8827.428766
110.989366,118,8859.834229
110.436241,119,8893.214731
110.275929,118,8925.35876
110.531241,118,8930.865855
113.313429,121,8963.926866
22.216562,24,8965.094332
109.722491,118,8997.885829
111.485304,121,9030.914596
113.759054,122,9063.772359
110.685304,118,9069.680044
114.853741,121,9102.329287
109.018741,118,9134.929903
110.183741,118,9411.700689
110.534054,118,9452.507406
114.335929,121,9458.649372
109.500616,118,9499.773792
110.208741,118,9540.494764
109.577804,118,9581.568608
113.124679,118,9587.598014
110.871241,122,9628.730109
116.268741,124,9670.108925
112.490304,119,9711.55041
112.620616,122,9717.865805
114.766554,122,9758.73703
114.334679,122,9799.875317
113.479991,122,9841.240835
113.018116,122,9882.531708
113.222491,121,9888.276079
113.081554,122,9929.231244
111.884679,119,10225.264822
115.366241,122,10284.641426
112.952491,119,10290.370555
112.552179,122,10349.475813
113.333116,119,10408.660469
115.016241,118,10467.972544
114.770304,122,10527.26395
114.482179,121,10533.542071
111.471241,119,10592.572262
113.716241,119,10651.549546
112.884679,118,10710.797726
111.334679,118,10717.85008
111.593429,118,10776.502267
117.345304,122,10836.082922
114.811241,121,10895.468427
112.392491,121,10901.834196
111.934054,119,10960.875429
112.103429,119,11260.781054
113.620616,119,11307.182843
111.893429,118,11313.494862
116.239991,122,11359.69622
113.442491,119,11405.795704
117.483429,122,11452.154258
115.469679,122,11498.968439
117.820304,123,11505.035603
112.986554,118,11551.893183
116.859366,122,11598.206012
111.303116,118,11644.435085
112.862179,119,11650.476656
114.546866,119,11696.6803
113.592179,118,11742.962265
114.520616,118,11788.786261
116.779991,122,11795.733621
113.173741,119,11841.881646
117.379991,122,12126.856236
113.275929,118,12225.759666
112.715929,119,12325.148664
119.027804,122,12332.1242
113.897179,119,12432.074875
113.794054,119,12530.944688
117.533429,122,12630.262622
115.181554,119,12636.812251
112.284679,118,12735.346809
112.370304,118,12834.604227
116.087179,122,12933.9845
117.620304,122,12940.68458
115.272491,122,13039.964694
115.518741,122,13138.879574
113.901241,119,13237.795853
116.860616,121,13337.043528
112.298429,118,13343.017969
113.064366,118,13678.331542
117.525929,122,13753.700746
134.641633,140,13830.440935
117.680929,122,13906.146442
116.880616,122,13912.642273
118.457804,122,13988.384621
115.492491,119,14063.722167
118.272179,122,14139.576513
118.605616,122,14146.362108
116.426241,122,14221.542944
113.281554,119,14297.046106
117.216866,122,14372.360314
114.134054,119,14447.615121
113.571554,119,14454.508745
117.588741,121,14530.379046
118.089679,122,14606.33283
118.453741,122,14681.793025
115.524679,119,14924.933383
118.647804,122,15046.637537
118.579991,122,15167.569326
114.454679,118,15288.870501
119.014366,122,15409.525483
114.022804,119,15415.960732
116.691866,122,15537.597826
119.121866,122,15658.446974
118.337804,122,15779.442927
118.310616,121,15786.053947
117.298741,122,15907.189193
118.250304,122,16027.677441
117.273429,122,16148.629046
117.552179,122,16269.523196
115.197491,119,16276.962767
117.514991,122,16398.608801
115.786241,122,16518.998804
119.067491,122,16918.11473
117.238116,122,16924.792317
119.230616,122,17088.974592
117.719054,122,17252.926325
115.736866,119,17416.905784
118.890304,122,17579.823293
118.887804,122,17586.628771
