#{"t_start": 1690269780.7489398, "env_id": "None"}
r,l,t
244.219062,250,28.026819
243.191953,250,48.028255
244.62125,250,62.543317
243.019609,250,83.608718
244.026094,250,104.233072
244.849141,250,118.765642
245.446641,250,139.62823
244.70875,250,154.777182
244.389219,250,503.236617
244.413672,250,628.28655
291.745907,300,698.820154
292.402704,300,824.016054
292.092548,300,949.246619
292.641142,300,1076.509456
293.06911,300,1203.348235
294.648407,300,1582.142834
293.933329,300,1647.143126
292.305048,300,1711.290367
294.658954,300,1777.937978
293.781064,300,1845.339499
374.254844,383,1915.587722
375.826641,383,2299.890334
374.868281,383,2372.23621
375.609609,383,2468.817769
374.637891,383,2539.648792
374.205391,383,2610.892152
375.999609,383,2708.119276
375.494375,383,3069.015224
375.930313,383,3178.14288
375.000313,383,3256.950241
420.984508,433,3368.036362
419.304273,433,3482.288178
417.890289,433,3911.525326
421.109664,433,4022.04813
422.695523,433,4175.538997
424.137945,433,4330.62304
419.55068,433,4775.080641
421.87693,433,4949.25897
423.238336,433,5073.546421
421.939195,433,5246.347858
491.276016,499,5425.988197
489.724609,499,5887.755373
490.094531,499,6132.708644
489.587656,499,6324.947533
492.897344,499,6516.626085
493.490312,499,6988.87577
493.105937,499,7185.891431
491.590781,499,7436.505178
490.871328,499,7635.311062
492.867422,499,8111.950364
562.249705,574,8370.890496
560.865799,574,8577.538332
559.84369,574,8840.631695
562.636502,574,9409.43926
561.248065,574,9644.607746
562.491893,574,9942.440451
564.171268,574,10533.639299
564.309471,574,10783.945772
562.563377,574,11105.563403
563.880252,574,11428.992573
