#{"t_start": 1690269962.3467307, "env_id": "None"}
r,l,t
80.293906,84,17.072197
81.292422,84,22.922533
81.149062,84,25.776654
80.818828,84,31.735132
80.142109,84,34.623315
81.610469,84,40.649007
82.379219,84,43.557212
81.656484,84,49.558928
80.114297,84,52.559654
80.498516,84,58.789671
99.302432,103,66.136686
99.576573,103,70.617322
99.068448,103,77.991092
99.055635,103,85.416062
98.580948,103,89.736326
100.450869,103,97.054545
98.397823,103,104.415077
99.396494,103,108.725436
99.102901,103,116.298239
99.426026,103,120.932552
109.827266,115,129.68236
110.033828,115,391.212534
109.400938,115,476.78463
111.569531,115,482.386276
109.617344,115,568.08582
108.59625,115,653.673706
111.205,115,739.527087
111.082656,115,745.102055
111.685156,115,831.515617
110.430078,115,917.541838
133.620668,140,1005.389722
134.22559,140,1093.082003
135.788636,140,1180.745326
133.763246,140,1188.582904
135.687465,140,1276.33338
134.566605,140,1366.515851
134.118402,140,1455.062364
133.055746,140,1790.63978
135.162465,140,1865.792279
134.695746,140,1941.524832
155.139687,164,2018.597284
157.204453,164,2095.754261
156.027422,164,2172.520903
157.097891,164,2249.570916
156.251641,164,2326.836825
154.413281,164,2403.728709
155.545391,164,2480.869139
154.768594,164,2557.662806
156.803672,164,2634.731962
156.993437,164,2712.932704
187.302477,195,3120.842486
186.902164,195,3215.851113
188.222164,195,3309.9087
185.804274,195,3404.811557
186.377711,195,3578.25133
188.965055,195,3672.486365
187.141696,195,3767.320116
187.555367,195,3861.730788
188.259117,195,4035.334278
186.936539,195,4130.513947
192.501797,196,4474.672353
191.423594,196,4568.258655
192.252187,196,4739.854802
190.236641,196,4833.806112
193.323828,196,4928.572397
191.101562,196,5023.448698
191.275156,196,5195.584762
191.566875,196,5289.90624
191.613828,196,5384.181198
192.427187,196,5480.274561
202.717924,207,5656.944076
202.393783,207,6000.473563
202.032845,207,6099.333513
202.531908,207,6276.274593
201.866595,207,6375.907993
203.83097,207,6475.457736
202.353549,207,6652.037608
200.401674,207,6750.175007
202.516908,207,6848.066864
202.85347,207,7024.988264
230.341953,238,7128.247467
233.183516,238,7559.080704
232.26125,238,7660.488665
231.394687,238,7837.002787
233.272891,238,7938.71712
231.455937,238,8116.267608
233.985547,238,8216.873264
232.28875,238,8394.498406
232.530781,238,8496.210958
230.577969,238,8924.240959
252.002095,257,9106.244225
251.553267,257,9213.233691
250.304439,257,9395.640911
250.727876,257,9578.987968
250.079283,257,9686.621875
254.209517,257,9870.286772
252.957798,257,9977.653546
251.522876,257,10401.587678
252.776626,257,10594.474571
253.934283,257,10707.783093
277.966641,284,10905.61991
277.266172,284,11105.262286
280.695703,284,11304.721144
280.218359,284,11504.392122
