#{"t_start": 1690165769.9440277, "env_id": "None"}
r,l,t
285.738906,294,32.363432
280.949766,294,56.306514
282.975703,294,80.965546
284.073047,294,106.37052
284.618984,294,131.972945
283.608203,294,158.818378
282.17375,294,456.399076
284.734375,294,530.407443
284.295469,294,572.936429
285.097734,294,646.719375
102.906792,113,681.607911
96.236792,104,715.15188
90.203667,97,718.551507
42.391358,45,749.945131
92.068042,100,753.40892
82.443042,88,786.560114
109.009644,122,820.42891
90.366167,97,823.887604
42.728858,45,855.441255
110.426831,123,859.943747
202.683153,226,1191.060873
42.589796,45,1192.643028
42.670733,45,1194.270018
89.25398,97,1261.796265
217.969871,239,1398.799607
114.249644,122,1403.230222
42.159796,45,1468.476033
82.29273,88,1471.871898
206.722841,227,1607.777629
103.781792,113,1611.896808
95.313042,104,1679.364505
90.113355,97,1746.445928
90.199292,97,1749.929355
204.902841,223,1885.732356
110.170894,121,1890.202816
109.622144,120,1959.510187
42.558233,45,1961.226642
92.993355,100,2030.349821
142.410269,154,2379.551124
104.853667,113,2641.672123
330.627477,360,3159.839767
206.684403,226,3677.067957
90.569605,97,3680.807813
42.441983,45,3933.779478
93.77523,100,3937.826313
220.347371,238,4449.2599
210.358466,227,4709.07209
141.386831,154,4966.751308
112.885269,123,5223.043072
93.805855,100,5477.655703
93.08148,100,5481.484155
113.599956,122,5737.157844
333.867477,360,6526.398229
208.629716,226,7034.044945
92.883667,97,7037.691784
114.173394,123,7292.039065
92.375542,97,7545.485233
112.593706,122,7799.319247
91.803355,97,7802.937664
332.952164,360,8315.059715
206.544091,227,8824.174385
207.657841,226,9082.317366
209.815966,226,9641.013183
278.030498,301,9725.646341
209.888466,226,9770.865507
333.754352,360,9893.99311
94.774605,100,9897.653388
336.457164,360,9983.561382
221.589246,240,10065.531337
333.419664,360,10429.425817
212.508153,227,10503.2022
338.082477,360,10581.770153
92.674292,97,10618.315392
331.818727,360,10697.644341
210.914403,227,10739.669932
97.522105,104,10776.77574
94.254292,100,10814.259234
222.681433,240,10857.841722
114.071831,123,10896.332622
335.041539,360,11258.281271
215.747841,226,11342.373889
335.354977,360,11431.776406
381.980937,408,11558.823493
337.547328,358,11649.071715
384.254062,408,11779.786916
384.616249,408,12159.334659
383.655624,408,12321.236648
6.659063,8,12321.567035
341.54139,358,12433.226286
341.033265,358,12593.134037
383.154062,408,12706.496686
382.997187,408,13130.376856
343.059515,358,13236.497267
386.713124,408,13390.377751
342.533265,358,13496.489232
341.764203,358,13602.466155
340.12389,358,13754.23177
342.110453,358,14167.796426
342.932953,358,14317.31978
344.456078,358,14466.99979
339.752328,358,14683.940603
390.941249,408,14835.069516
344.36264,358,15319.238682
344.106078,358,15477.557795
388.919062,408,15708.959124
345.26514,358,15866.754951
389.623437,408,16026.634524
346.30639,358,16256.224087
344.847015,358,16684.518821
345.200765,358,16848.066976
346.942953,358,17086.084385
390.735624,408,17252.20551
344.243578,358,17490.123581
344.597015,358,17928.004245
