#{"t_start": 1690166012.359906, "env_id": "None"}
r,l,t
20.714672,24,7.193676
74.16234,80,10.294174
63.871335,70,12.935031
64.646335,70,15.768035
21.211235,24,23.865495
21.016235,24,24.843388
85.637831,94,28.597188
7.202187,10,28.987544
64.39696,70,31.735502
85.420018,94,42.574301
67.723835,75,45.549332
20.265297,24,46.495263
85.673456,94,57.35539
2.744375,4,57.505145
86.393768,94,61.271014
85.798768,94,64.950068
2.744375,4,65.148634
2.14,4,65.294003
2.744375,4,65.441601
86.747206,94,76.271222
2.744375,4,76.417048
20.536235,24,77.41807
2.14,4,77.568938
84.806581,94,81.32154
86.805331,94,92.364162
85.997831,94,96.295143
84.977206,94,100.079252
111.519668,119,111.722573
41.641071,44,113.482218
65.466575,70,116.277912
64.84845,70,126.020479
110.817168,119,130.772092
110.825293,119,135.546293
111.437168,119,410.882169
41.881071,44,412.659982
41.588571,44,414.427659
64.839388,70,424.36928
65.739388,70,427.189121
41.278259,44,428.988258
111.009668,119,440.936343
56.878189,60,443.411474
110.918106,119,448.274811
109.432481,119,460.385858
65.126263,70,463.324774
41.640134,44,465.136081
111.573418,119,477.481624
77.809152,84,481.032379
111.280918,119,485.831124
41.825134,44,495.245388
111.763106,119,500.205338
33.084509,37,501.772768
89.33675,98,513.258981
53.990627,62,515.838818
58.725315,66,518.600315
34.202322,37,520.174412
33.923572,37,521.667625
34.047634,37,530.75949
59.324377,66,533.616736
2.744375,4,533.77931
33.473884,37,535.228906
54.175002,57,537.636309
89.859875,98,549.153915
88.318625,98,824.406247
51.87469,57,826.76421
101.096437,109,842.584261
89.884875,98,846.692292
146.442353,154,864.490802
59.794377,66,867.165658
88.227062,98,871.28389
56.208752,62,885.230918
144.909853,154,891.600508
55.169377,62,905.292771
61.461565,66,907.97608
143.80454,154,914.429505
143.85329,154,932.14789
54.770627,62,934.712383
143.98329,154,952.393965
54.46094,57,954.846941
98.668937,109,970.623482
142.532978,154,977.003969
143.800165,154,994.468443
101.8605,109,1264.76429
142.297665,154,1281.691581
143.510165,154,1287.952804
34.328259,37,1300.178844
143.018915,154,1306.570059
164.629063,172,1324.31385
166.323438,172,1342.022349
164.622188,172,1349.065764
163.982813,172,1367.007612
165.72125,172,1384.816911
164.513438,172,1391.983573
164.161875,172,1409.725876
165.302188,172,1427.265309
165.6,172,1704.067443
164.69,172,1723.987624
181.71797,198,1744.934227
133.929389,145,1750.885379
140.272906,154,1770.156241
185.909533,198,1791.342769
135.186889,145,1797.362111
182.312033,198,1818.403771
182.663595,198,1839.800825
117.504044,126,1857.926065
147.314156,157,1864.432918
187.022033,198,1885.993101
135.105952,145,2170.411462
93.851694,101,2174.616292
182.145783,198,2198.246234
184.036095,198,2221.50729
184.17672,198,2229.817922
183.049845,198,2253.114811
131.961577,144,2274.335325
183.105158,198,2282.550771
193.873785,206,2306.310142
196.522848,206,2330.057028
61.269157,66,2332.725198
195.13191,206,2356.653266
195.620973,206,2644.026015
192.946598,206,2664.81909
196.008785,206,2685.81456
194.72191,206,2694.687523
194.894723,206,2715.698544
195.68816,206,2736.708496
198.71941,206,2757.508621
226.767807,242,2779.822019
226.712182,242,2802.182713
227.594369,242,3091.905926
166.434572,172,3114.376473
230.280932,242,3140.22429
230.465932,242,3150.62381
164.628009,172,3173.323339
232.601244,242,3199.340942
230.711244,242,3225.617759
230.414682,242,3251.588323
230.006557,242,3277.352159
163.109884,171,3300.170301
231.342807,242,3585.386418
194.703237,202,3608.860425
194.278862,202,3617.931056
237.100293,252,3643.839889
242.695918,252,3669.871441
194.357612,202,3693.241976
195.542612,202,3716.671523
196.292612,203,3740.332134
240.860605,252,3766.033348
240.390918,252,4053.542407
196.080737,202,4076.998113
195.865425,202,4085.812325
197.467925,203,4108.963721
241.592793,252,4134.084945
194.6023,202,4157.41909
240.735293,252,4182.955492
198.097925,204,4206.393934
196.584175,204,4229.895367
197.4073,204,4478.441837
241.176543,252,4503.277186
197.591362,203,4525.575084
244.976855,252,4549.939536
244.107793,252,4574.122529
198.361362,204,4596.466289
196.100425,203,4618.995866
198.15605,203,4641.471068
197.486675,203,4664.093548
198.33105,203,4673.109301
244.813105,252,4947.616202
198.06105,203,4969.953607
244.13623,252,4994.305779
207.7723,216,5016.976242
197.8348,203,5039.052696
198.535112,203,5061.271347
196.693237,202,5083.267487
139.688701,142,5089.332158
242.702168,252,5113.670421
244.09623,252,5403.153678
245.766855,252,5427.253598
198.52605,203,5449.003751
246.06623,252,5472.877172
197.801362,203,5494.892051
198.2448,203,5517.195928
243.46873,252,5541.643507
198.074487,203,5550.523304
198.072612,203,5572.678392
198.765425,203,5595.038348
199.335425,204,5867.119649
198.742925,203,5890.618
197.705425,203,5899.676651
198.722925,204,5923.361535
198.553237,203,5947.039217
196.684487,203,5971.002046
196.95105,203,5994.215609
243.371543,252,6019.628533
199.711987,204,6028.573532
199.11105,203,6319.243101
197.19855,203,6341.104342
197.407612,203,6363.29452
198.3648,203,6385.410664
243.003105,252,6409.808339
196.720737,203,6432.370528
244.096543,252,6456.520776
244.364355,252,6481.038798
197.5973,203,6489.765201
197.673237,203,6512.114194
243.01748,252,6795.744071
244.20498,252,6820.051945
196.607612,203,6842.407478
139.451514,142,6861.788147
198.611675,204,6870.631793
198.1523,203,6892.738095
196.9748,203,6914.873389
197.179175,203,6937.0669
198.502925,203,6959.233167
197.5523,203,6968.100578
198.026362,204,7252.096195
197.149487,203,7275.548474
197.71355,203,7299.154214
139.178701,142,7305.55462
244.969043,252,7331.467215
197.29105,203,7354.915794
197.723862,203,7378.604049
198.515112,204,7402.236774
197.636362,204,7425.94129
243.300605,252,7451.92475
199.416987,204,7738.925222
198.222612,203,7748.072034
246.125605,252,7774.040902
243.960293,252,7799.659053
198.429487,204,7823.661259
197.732925,203,7847.224988
139.645889,142,7868.513633
242.639668,252,7894.915559
198.463862,203,7904.080704
197.385425,203,8181.746824
198.061675,203,8203.91709
195.824175,203,8225.879975
245.903105,252,8250.156374
243.430605,252,8274.467519
198.044487,203,8296.908994
197.9773,203,8305.863845
197.8448,204,8328.092238
241.498418,252,8352.273816
139.181201,142,8371.907929
242.568418,252,8665.895832
198.132612,203,8688.297177
198.5198,203,8710.535774
198.140112,203,8719.705547
246.034043,252,8744.003914
245.519668,252,8768.115691
198.732612,204,8790.12661
139.211201,142,8809.423886
198.1748,203,8831.784012
197.188862,204,9106.937113
196.1723,203,9129.013584
198.1398,204,9151.195884
196.1073,203,9173.014712
196.089175,203,9195.205752
198.044487,203,9204.353522
197.166987,203,9226.67755
197.990737,203,9248.803411
197.567612,204,9271.058704
198.057612,203,9293.158061
197.652612,203,9302.102097
197.906675,203,9589.286558
198.656362,204,9611.728458
198.272612,204,9633.957041
244.57373,252,9658.334632
196.836987,203,9680.707724
196.86105,203,9702.934255
241.00248,252,9727.476357
245.730293,253,9752.009372
197.328237,203,9761.287308
195.684175,203,10045.854726
196.785737,203,10068.292111
242.965605,252,10092.708785
240.81873,252,10117.351714
198.285425,204,10139.574972
198.095737,203,10161.906019
243.344668,252,10186.272515
197.367925,203,10195.35501
244.855918,252,10220.122059
197.750425,203,10495.726032
245.609355,252,10524.286688
138.520889,142,10547.931311
196.92855,203,10573.657695
196.833862,203,10599.645653
243.720293,252,10628.016456
196.535737,203,10637.200342
197.208237,203,10663.359702
196.24605,203,10689.911017
197.575425,204,10715.840795
196.51605,203,11003.907464
246.565918,252,11032.080439
195.751987,202,11041.091799
198.19605,203,11067.120855
198.432612,203,11093.22959
