#{"t_start": 1690166823.7347448, "env_id": "None"}
r,l,t
45.137778,49,2.229411
46.042465,49,2.466559
46.499028,49,2.695346
46.241215,49,2.91988
45.494965,49,3.151085
46.55309,49,3.386125
45.34184,49,3.615982
46.32309,49,3.855659
46.09809,49,4.075109
16.426528,18,4.161601
22.723889,25,4.276527
46.16809,49,4.63509
45.511778,50,4.982892
45.264903,50,5.237246
45.102715,50,5.506617
50.254201,55,5.802332
44.555215,50,6.135482
50.635451,55,6.456037
44.744278,50,6.744186
50.889826,55,7.042729
52.014826,55,7.338466
50.190139,55,7.635657
51.264514,55,7.939437
46.130215,50,8.235359
50.612639,55,8.535141
50.374826,55,9.25729
50.407951,55,9.569948
45.352403,50,9.835777
51.969201,55,10.23509
65.946539,71,10.673842
65.813102,71,11.10879
66.724664,71,11.532521
65.714664,71,11.975739
5.120625,7,12.012762
66.357477,71,12.421186
27.553221,32,12.62961
5.720937,7,12.660475
66.064352,71,13.096369
5.10875,7,13.136999
5.112812,7,13.178022
65.160602,71,13.601883
65.761539,71,30.834835
67.452164,71,31.264214
29.632596,32,31.472255
66.919039,71,31.955334
55.663807,60,32.31465
20.876728,23,32.452599
71.243214,78,32.983956
53.475682,60,33.395353
54.555057,60,34.264074
51.826307,57,34.599602
20.636728,23,34.769517
72.279464,78,35.293396
72.533527,78,35.768843
71.184464,78,36.274523
72.620714,78,36.759667
72.326027,78,37.265067
20.598916,23,37.393613
73.227277,78,37.907243
72.563214,78,38.39852
52.309745,57,38.756431
55.10537,60,39.172225
72.918214,78,39.678782
72.505714,78,40.145808
87.611562,93,40.806062
34.340625,37,41.011565
86.418437,93,41.620292
33.6775,37,41.864082
34.618438,37,42.077421
34.584688,37,42.77454
86.390312,93,43.371479
34.30125,37,43.639397
85.665937,93,44.285244
85.765625,93,44.868871
86.357187,93,62.241443
85.971875,93,62.938
86.026875,93,63.591101
86.275625,93,64.269593
86.298125,93,64.970191
72.700471,79,65.618258
19.413422,21,65.761454
71.696721,82,66.394911
50.5861,55,66.81342
19.260297,21,66.964044
70.629846,78,67.564981
70.377346,78,68.17833
70.912346,79,69.280908
50.510162,55,69.700579
47.383221,52,70.082133
70.955158,79,70.629184
47.403846,52,71.062116
71.817971,79,71.616693
48.098846,52,71.941285
47.095721,52,72.365636
19.25061,21,72.510918
48.601346,52,72.861115
19.29561,21,73.079603
47.734471,52,73.378019
19.14436,21,73.504749
69.711408,79,74.134551
61.367901,68,74.619668
50.55485,55,74.993016
60.880714,68,75.444128
48.080409,52,75.766542
69.820783,79,76.301754
72.510158,82,76.915855
61.071651,68,94.291008
58.817037,65,94.759343
71.977971,78,95.875876
69.799846,79,96.440687
51.064537,55,96.85864
62.551651,68,97.308931
70.077971,79,97.933606
71.922971,79,98.597063
72.843283,82,99.234712
72.086721,82,99.892647
70.275471,79,100.53366
72.350471,78,101.174474
48.103221,52,101.526158
73.610471,83,102.203034
74.171408,82,102.846333
71.363908,82,103.464359
70.921408,78,104.079017
71.763596,79,104.737037
70.307346,78,105.80807
75.004533,83,106.521052
70.003596,79,107.186507
72.402346,79,107.811004
33.755548,37,108.105531
74.790471,81,108.79442
70.678283,78,109.337509
70.539221,79,109.968416
72.966721,83,110.662797
72.882033,78,128.663209
73.467658,79,129.274615
73.865471,83,129.92296
71.394533,79,130.589911
75.762971,82,131.284628
72.623283,82,131.907655
76.013596,83,132.597205
76.229533,83,133.823591
73.085158,78,134.473787
70.996721,78,135.109586
75.357658,83,135.786006
71.237346,78,136.470283
71.555158,79,137.111407
73.617658,82,137.770788
72.283283,79,138.376398
61.473839,68,138.890857
75.357971,83,139.557712
73.519533,82,140.218647
73.624221,84,140.838726
71.417346,79,141.532691
61.711026,68,142.037084
72.521408,79,142.663244
47.635409,52,143.053332
71.646096,79,144.153945
74.818908,82,144.76812
55.963287,60,145.195814
71.302971,79,163.067542
72.385158,79,163.693442
73.650783,79,164.281148
70.178908,79,164.860081
76.599221,83,165.514242
77.670471,82,166.133794
75.909846,84,166.772977
59.981339,68,167.293511
72.828283,79,167.947829
71.480783,79,168.526646
71.214221,79,169.112181
71.378283,79,169.731014
69.646721,79,170.332348
72.465783,79,171.593482
69.993908,79,172.149528
73.681721,82,172.77438
48.704784,52,173.164488
71.200471,79,173.763946
70.551408,79,174.346027
70.772346,79,174.945002
72.201408,79,175.520311
