#{"t_start": 1690166823.6175377, "env_id": "None"}
r,l,t
9.68309,11,2.153678
22.510139,26,2.278603
22.563264,26,2.403892
9.712153,11,2.453361
23.025451,26,2.594985
42.519653,46,2.806491
22.445764,26,2.923628
20.316076,22,3.01931
9.675278,11,3.077972
43.195278,46,3.299718
43.622465,46,3.519103
19.662951,22,3.612736
9.41184,11,3.664581
9.66184,11,3.720796
9.671528,11,3.771287
9.692778,11,3.822109
43.592778,46,4.045243
44.55809,46,4.259022
43.01559,46,4.513705
43.093403,46,4.858421
19.833576,22,5.024679
9.434965,11,5.0841
43.736215,46,5.321336
9.696528,11,5.374118
9.663715,11,5.438156
23.269514,26,5.559259
43.36684,46,5.813634
43.169028,46,6.116713
49.830451,54,6.419982
48.422014,54,6.768157
50.086389,54,7.057031
8.281153,10,7.105889
48.109826,54,7.398001
8.412715,10,7.44785
8.412715,10,7.501377
8.265528,10,7.549116
21.153014,24,7.664134
48.568576,54,7.990244
50.653576,54,8.288161
49.277951,54,8.592071
8.265528,10,8.650866
49.323889,54,9.369378
46.038653,51,9.65427
49.897014,54,9.949228
50.082951,54,10.33539
11.05561,13,10.412799
73.893727,85,10.936998
11.346235,13,11.012254
70.241539,80,11.503075
52.450401,58,11.850049
52.036339,58,12.210533
10.757172,13,12.275743
21.447735,24,12.419195
34.164784,40,12.656791
51.118839,59,13.030624
51.617589,59,13.382138
21.339298,24,13.509518
21.133985,24,13.666757
11.05561,13,13.748198
11.644672,13,13.82472
51.055401,58,30.977469
75.882164,85,31.508369
53.309776,58,31.88866
75.171852,85,32.42077
75.294664,85,33.006614
75.979039,85,33.548908
75.644352,85,34.550048
52.665401,58,34.960963
52.286964,59,35.330827
76.106852,85,35.876863
51.271026,58,36.26623
11.020922,13,36.333264
77.150289,85,36.857437
24.678985,29,37.031216
76.962789,85,37.583046
77.255289,85,38.146297
41.012321,48,38.429931
74.794464,83,38.96274
76.166964,83,39.511314
42.259196,48,39.82972
74.121652,83,40.345989
42.072946,48,40.677334
42.637634,48,41.014973
35.913884,41,41.240528
75.508214,83,41.805081
76.335089,83,42.73249
34.864196,41,43.037232
74.023527,83,43.587397
22.327353,24,43.748948
75.566339,83,44.320776
35.681384,41,44.571495
75.776027,83,61.912709
35.659196,40,62.157775
71.511339,79,62.693014
75.363839,83,63.295762
76.053839,83,63.892515
79.854687,87,64.531729
80.625,87,65.231256
92.518125,101,65.99993
91.792812,101,66.796699
92.150625,101,67.537443
4.442187,6,67.579605
80.496562,87,68.266602
92.132187,101,69.542943
91.588125,101,70.279813
92.398437,101,71.055334
92.32375,101,71.771639
92.830312,101,72.4914
91.947187,101,73.250742
93.186562,101,73.957767
61.424464,67,74.439864
100.450289,108,75.191924
60.672589,66,75.616189
42.501346,46,75.888077
100.174039,108,76.688432
98.714352,108,94.331398
60.396964,67,94.812112
100.967789,108,96.176522
98.586852,108,96.937301
98.499039,108,97.733565
100.335602,108,98.588344
100.495289,108,99.437356
100.758727,108,100.280373
98.745914,108,101.194678
2.744375,4,101.223819
96.219625,106,102.022793
98.384313,107,102.848645
97.459625,106,103.683173
15.67475,18,103.809655
15.67475,18,103.963622
97.8565,107,104.801222
95.600875,105,106.151757
99.128063,107,107.050904
97.215875,106,107.900869
97.184313,106,108.781034
98.274313,106,109.553606
96.268375,106,110.434214
99.039938,106,128.641003
99.689313,107,129.531308
96.499,106,130.321158
101.118375,106,131.227929
97.875875,106,132.081583
99.060875,105,132.959447
97.933688,105,134.325152
99.965875,107,135.211794
96.724625,106,136.138219
97.122438,106,137.028888
97.529938,106,137.823553
96.255875,105,138.699368
96.9415,105,139.416091
99.466188,106,140.322377
98.184625,106,141.14744
97.12275,106,142.037416
96.942437,106,142.875444
98.118375,105,144.165673
97.094313,106,144.957834
97.49775,106,145.788855
112.917813,121,163.923905
99.034,106,164.720728
98.198375,106,165.496716
96.52275,105,166.327765
101.92775,108,167.164326
100.199313,107,168.008205
98.642438,106,168.810107
97.780875,105,169.61106
98.389313,106,170.377757
