#{"t_start": 1690108550.5364969, "env_id": "None"}
r,l,t
13.04625,15,15.169781
38.940375,44,16.37966
12.4575,15,16.919437
56.625,65,19.243559
39.216,44,23.590673
8.806563,11,24.030237
57.115938,65,26.439954
9.550313,11,26.8648
84.189313,94,33.121088
39.134438,44,35.053131
51.343438,57,37.147503
9.085313,11,40.083409
8.79875,11,40.525634
8.64375,11,40.920313
11.411563,15,41.537767
12.596875,15,42.122075
12.604688,15,42.704922
8.79875,11,43.122276
56.62625,65,45.683938
9.100938,11,48.634
11.860938,15,49.204245
39.83475,44,50.933416
8.95375,11,51.359396
39.6385,44,53.102484
98.370625,111,59.924801
56.8025,65,62.54635
8.64375,11,63.023433
8.79875,11,66.113858
8.95375,11,66.605455
9.395313,11,67.009721
58.55,65,69.379725
8.806563,11,69.8434
9.116563,11,70.363423
13.015,15,70.977975
56.965313,65,76.116143
8.651563,11,76.55332
9.255938,11,76.971868
86.463375,97,83.144659
39.941625,44,84.744446
9.558125,11,85.233273
87.004312,97,88.880436
82.809625,94,95.242868
81.124313,94,101.453458
99.711562,112,106.055597
84.543063,94,112.162106
81.94775,94,119.069337
57.8975,65,121.599517
12.325938,15,122.230727
8.496562,11,122.632033
12.6125,15,123.227457
8.961563,11,123.674154
9.255938,11,124.091074
50.11,57,376.921011
99.685,112,387.663357
83.847437,94,391.627762
111.194688,127,402.4108
56.332188,65,405.250093
49.628438,57,413.486258
9.41875,11,413.877508
82.704937,93,417.706971
112.820625,127,428.63728
38.996313,44,430.592646
100.72625,112,441.103945
8.95375,11,441.498782
112.21875,127,453.004294
12.279063,15,453.655866
97.959062,112,464.2925
112.890313,127,475.468836
39.998188,44,477.279588
113.246875,127,488.564918
9.248125,11,489.083454
82.729937,94,493.173289
84.68025,94,503.104768
12.465313,15,503.653652
155.973813,173,516.754061
50.200625,57,524.911938
12.402813,15,525.532325
98.503438,112,530.217876
8.349375,11,536.547863
13.348438,15,537.249942
52.922813,57,785.476433
98.979375,112,795.843813
98.109375,112,800.704666
8.945938,11,806.280534
50.6425,57,809.491757
98.585,112,819.484581
84.834,94,823.476094
155.320063,173,836.516436
12.11625,15,837.086467
85.346187,94,846.421441
12.402813,15,847.018981
58.757813,65,855.304484
57.324375,65,858.066805
9.550313,11,858.527386
50.730313,57,860.913133
84.786813,94,870.253158
57.724375,65,873.161803
114.837813,127,884.203382
167.29875,188,897.818248
155.716938,173,915.809181
12.589063,15,916.423212
155.39225,173,929.413552
116.32125,127,940.100731
9.395313,11,940.522582
9.100938,11,941.040272
101.580625,112,1188.934225
9.558125,11,1189.451035
157.29975,173,1206.417656
154.921313,173,1218.519897
115.409063,127,1224.293123
117.33,131,1235.268839
100.320312,112,1244.863286
85.820875,94,1253.44497
85.9815,94,1257.821293
100.400625,112,1266.910945
168.338125,188,1279.903866
100.07625,112,1290.068395
39.585687,44,1291.988333
100.25875,112,1301.498185
12.465313,15,1302.141549
52.471562,57,1304.782069
88.643062,97,1314.042245
157.15225,173,1326.365656
168.809688,188,1581.493814
155.226625,173,1593.963359
85.395875,94,1603.135364
171.68,188,1617.003387
116.52125,127,1627.528247
103.368125,112,1637.331133
116.792813,126,1647.463571
114.747813,127,1653.212749
153.776,172,1665.284762
116.468125,127,1675.491709
168.109063,188,1688.723193
159.966625,173,1705.193891
158.077563,173,1718.120512
100.602813,112,1723.508478
115.071875,127,1977.246542
170.370625,188,1990.549784
101.76625,112,2000.175657
158.715688,173,2013.810798
157.184125,172,2026.953814
158.214125,173,2039.489021
116.037813,127,2049.99468
158.63225,173,2063.066126
159.081625,173,2080.04738
101.331875,112,2085.764384
88.213375,97,2094.588413
159.37475,173,2107.516113
172.764375,190,2121.488188
159.263813,172,2380.92666
105.291563,112,2391.367659
134.816875,145,2403.41627
103.805313,112,2413.842044
89.048687,94,2418.80085
116.865625,127,2430.482753
158.457563,173,2444.105581
172.539688,188,2458.56373
115.9175,127,2469.648694
157.860063,172,2483.593019
175.580313,191,2503.125053
104.31625,112,2508.343901
87.176188,94,2517.806675
156.601625,173,2531.467513
105.126563,112,2542.556076
102.282813,112,2548.665046
159.796938,173,2807.942251
176.732188,191,2826.513179
160.30975,173,2839.659455
176.226875,191,2853.642123
175.43,191,2868.391516
117.507813,127,2879.170653
176.481563,190,2893.872371
158.3435,172,2907.298117
174.55625,190,2925.767323
116.750625,127,2932.000779
117.148438,127,2943.269225
105.58875,112,2953.474985
176.564063,191,3212.481423
107.443125,112,3222.654999
180.955938,191,3237.63653
159.892875,173,3251.015159
177.150625,191,3265.675717
161.73225,173,3283.867599
175.69625,191,3298.365911
162.83975,173,3312.267604
163.646313,173,3325.926573
161.509125,172,3339.196469
173.134688,190,3354.764198
178.046563,191,3373.825884
161.489438,173,3632.886576
161.26225,173,3649.622937
161.641313,173,3666.383232
178.08125,190,3683.916101
161.883813,172,3701.075054
179.64875,192,3718.490357
161.390375,173,3742.282949
176.461875,191,3760.814765
160.876,173,3777.071036
159.266938,172,3794.462109
177.54875,191,3811.878412
165.133813,173,4072.656966
177.174375,191,4091.88026
180.074688,191,4106.665904
181.489063,192,4121.323481
162.272875,173,4134.836871
179.815313,190,4148.994025
160.903813,173,4163.845553
181.805938,192,4182.924606
139.900313,146,4195.75533
180.027188,192,4210.374311
180.067813,191,4225.098967
178.5675,190,4478.782454
163.199438,173,4496.371872
180.37375,191,4523.756734
163.302563,173,4541.407275
179.99,191,4559.946018
178.261875,191,4578.923138
182.359688,192,4597.440621
180.162813,190,4624.528282
182.673125,192,4643.604354
162.093188,173,4661.280769
179.989688,191,4680.118226
178.160313,190,4937.921574
181.355313,191,4965.6184
180.20625,191,4984.585059
164.471,173,5003.396781
163.681313,173,5021.309876
161.7735,172,5039.175433
181.67375,191,5058.035892
162.875375,173,5083.904378
180.190938,191,5102.613187
180.68875,191,5121.31442
180.520938,192,5140.64059
181.025625,191,5401.185843
164.211313,173,5427.0747
177.870625,191,5446.644969
180.025625,191,5465.781093
163.072563,173,5483.344782
180.465313,190,5503.81215
183.062188,191,5530.833498
180.715313,191,5549.999364
180.21125,191,5569.024541
162.380688,173,5587.211035
179.85375,191,5606.181773
180.639375,191,5876.5134
182.212188,191,5895.642806
182.73125,192,5915.196176
181.309688,192,5934.558517
180.775625,191,5953.662573
181.205313,190,5981.322069
162.228813,172,5999.407087
105.24875,112,6005.678876
180.187188,190,6033.186702
163.219125,173,6051.608469
164.271938,173,6070.040449
182.194688,191,6089.635735
163.729438,172,6347.283457
162.241625,172,6361.415584
183.25,192,6381.337074
179.185313,191,6396.944809
178.005938,191,6412.586811
179.9625,190,6427.976584
179.811875,191,6444.3651
163.631625,172,6463.000123
182.195313,192,6478.62876
181.471875,191,6493.719405
182.598125,191,6509.290301
180.994688,192,6766.786863
163.050063,172,6785.860466
182.51125,192,6801.338877
181.895313,191,6816.707051
182.4375,192,6832.385311
164.733188,173,6846.345507
163.76475,173,6860.558841
181.814688,192,6880.42268
164.661313,173,6894.40519
162.403188,173,6908.173177
163.987875,173,6922.549501
162.854438,173,7175.867762
184.2125,192,7191.087785
164.111938,173,7205.410069
183.605625,192,7225.340284
163.0185,173,7239.749082
182.590313,191,7255.164338
181.878438,191,7270.448434
163.709125,173,7284.974891
164.18975,173,7299.172304
182.589688,192,7318.804574
183.285625,192,7333.855592
181.496875,191,7587.452392
184.207188,191,7603.153072
185.353125,192,7622.582615
184.0325,192,7637.98804
164.886625,173,7652.617509
184.513438,192,7667.943918
181.486563,191,7683.025067
182.962188,191,7702.586473
164.28725,173,7716.767476
165.510375,173,7731.575075
179.421563,191,7746.668644
183.783125,192,8004.550227
166.921,173,8018.779772
167.139125,173,8037.27056
183.0175,192,8052.644947
166.800688,173,8068.252638
140.768438,146,8080.952206
184.066563,192,8096.656525
167.010375,173,8110.750227
180.683438,191,8126.387585
165.480375,173,8141.176636
184.419063,192,8160.952524
180.230313,191,8176.280563
178.008438,191,8439.133308
182.770313,192,8456.239867
182.937813,192,8478.865963
178.36125,191,8495.967376
182.106875,192,8513.437259
182.125313,192,8530.877111
181.355938,192,8554.212697
165.2935,173,8570.244073
162.790063,173,8586.518363
162.891938,173,8602.552515
180.76,192,8620.244239
182.656875,191,8878.375943
182.152813,191,8898.384893
179.133438,191,8913.858634
163.677563,173,8928.510504
164.049438,173,8943.095842
181.127188,191,8958.953609
181.942188,191,8975.755982
181.35,191,8995.661015
184.983125,192,9012.460065
165.292563,173,9027.231315
167.358188,173,9041.312886
166.572875,173,9295.540662
182.4325,191,9312.533581
167.036313,173,9334.295145
184.529063,192,9352.434013
182.162813,192,9369.460153
184.681875,192,9386.225872
164.697563,173,9402.50089
182.484375,192,9426.61748
183.622188,192,9443.695487
164.594438,173,9459.902361
183.309688,192,9477.047527
181.592813,191,9733.76265
184.239688,192,9754.773076
167.540375,173,9769.692096
181.594688,191,9785.702198
167.882875,173,9800.504001
167.15475,173,9815.741881
182.825313,191,9832.281426
183.314688,191,9852.710786
167.211,173,9867.807659
164.535063,173,9882.641414
184.0075,191,9899.526069
182.66625,191,10144.597203
183.675,191,10173.224832
184.135313,192,10192.985813
183.888125,192,10212.906518
183.126563,191,10232.969989
167.296938,173,10251.930012
184.5425,192,10280.377687
167.692563,173,10299.376755
184.180313,191,10319.510684
182.283438,191,10339.689044
167.893813,173,10358.245317
162.270375,172,10600.736563
182.832188,192,10628.607987
180.739375,191,10649.413732
178.839375,191,10668.991038
162.376313,173,10688.911728
184.6575,191,10708.488479
183.420625,191,10735.964823
179.440938,191,10755.74933
183.665625,191,10775.497968
178.102188,191,10795.201805
178.125,190,10814.910736
181.151875,191,11066.811621
181.339063,191,11088.804061
181.194375,191,11109.348917
167.458188,173,11127.59459
181.413438,192,11147.674873
177.57,191,11176.464596
165.01475,173,11195.960773
162.758813,173,11215.232063
165.611313,173,11234.425736
162.3285,173,11253.400052
180.39,191,11273.56623
183.005625,191,11518.854374
181.116563,191,11535.630764
181.3675,191,11551.987786
180.54625,191,11568.324279
174.677813,190,11584.933776
184.430625,191,11606.099387
160.931313,173,11621.32669
180.194688,191,11637.683149
179.715313,190,11655.76652
162.263188,173,11672.028021
176.973438,188,11692.219695
180.9225,191,11946.564462
168.106625,173,11963.031456
168.376625,173,11979.649668
165.465688,173,11996.623101
167.631625,173,12012.966867
186.109375,192,12029.589125
185.302188,191,12050.562186
182.63875,190,12066.805103
180.9075,191,12084.403411
181.178125,191,12101.017375
166.289125,173,12117.169691
184.000313,191,12381.014929
183.28875,191,12397.266222
184.320625,191,12414.8355
184.652813,191,12431.277271
183.39875,191,12451.76009
185.987188,192,12468.278914
178.200313,191,12484.297105
184.698438,191,12501.966188
182.086875,191,12518.100224
162.6985,173,12538.879779
182.596875,191,12555.010681
167.621938,173,12809.308614
182.82875,191,12826.983656
178.934063,188,12842.687121
168.156938,173,12857.58922
179.110313,188,12878.386595
183.8075,191,12894.483858
