#{"t_start": 1690096463.4499888, "env_id": "None"}
r,l,t
39.150937,45,1.795276
46.397188,55,2.086408
37.76,45,2.324692
63.241563,73,2.682417
63.931563,73,3.058454
66.212187,73,3.445527
65.565625,73,3.85446
3.752187,5,3.877852
3.752187,5,3.900514
47.655,55,4.182617
15.8425,19,4.266068
64.533438,73,4.64909
15.4475,19,4.728217
16.205,19,4.809697
48.046875,55,5.134486
16.028125,19,5.269646
47.290938,55,5.589365
3.76,5,5.608106
65.581875,73,6.001133
66.478437,73,6.433002
64.504688,73,6.86303
3.752187,5,6.896443
16.214688,19,6.995693
15.46875,19,7.084337
48.151875,55,7.391746
3.76,5,7.417622
64.769688,73,7.794101
64.663125,73,8.260062
19.67125,23,8.380362
19.558437,23,8.497099
67.136875,75,8.896199
69.300625,75,9.307981
20.388125,23,9.416527
18.209687,23,9.534277
9.101938,11,9.595785
68.411875,75,10.006462
67.820937,75,10.407331
68.251562,75,10.799119
8.791938,11,10.856725
8.478188,11,10.907505
67.52375,75,11.318436
69.082188,75,11.716208
66.239062,75,12.137583
69.272813,75,12.572647
19.273125,23,28.92231
8.791938,11,28.971844
66.96625,75,29.413574
24.814375,29,29.571301
87.38375,96,30.072438
86.973125,96,30.632496
87.705625,96,31.215914
87.280312,96,31.790594
87.649063,96,32.347531
43.365938,49,32.625139
88.1575,96,33.118148
26.670938,29,33.266449
88.608125,96,33.85341
79.775937,87,34.351744
87.863125,96,35.016073
87.123437,96,35.654133
86.835938,96,36.196266
5.10875,7,36.240752
69.839152,76,36.703795
2.14,4,36.735688
80.029464,90,37.285582
5.124375,7,37.330339
81.006652,89,37.860416
80.681964,90,38.435526
5.720937,7,38.470757
77.286964,88,39.038998
80.287277,89,39.529589
79.548527,89,40.037992
68.184777,76,40.509072
2.14,4,40.526715
80.182902,89,57.49159
5.116562,7,57.537114
44.506939,51,57.796222
2.752187,4,57.814074
45.746939,51,58.183477
100.918106,112,58.885584
79.820714,89,59.428695
80.263214,89,60.045231
102.477481,112,60.778102
79.485714,88,61.367276
45.772251,51,61.707562
80.342902,89,62.331925
4.504375,7,62.379336
78.229777,88,62.890186
2.132187,4,62.916378
101.153418,112,63.563961
5.720937,7,63.604405
79.282902,89,64.196095
81.713214,90,64.699828
101.645293,112,65.470032
80.244152,89,66.080721
103.851231,112,66.794956
78.283527,88,67.372251
80.012902,88,67.955731
2.744375,4,67.969646
80.591964,89,68.5118
101.634043,112,69.243373
80.642902,89,69.787109
78.674777,89,70.329081
82.366027,90,87.312984
102.720606,112,88.03088
80.036027,88,88.620686
81.300089,89,89.193613
