#{"t_start": 1690371837.508315, "env_id": "None"}
r,l,t
63.573438,66,13.068011
64.400938,66,16.260341
63.930625,66,20.171138
64.693125,66,23.390053
64.887188,66,27.135682
64.585,66,30.35461
63.683438,66,33.561742
63.961875,66,37.462185
64.479063,66,40.774228
64.583125,66,45.309861
75.923438,78,49.938747
74.439063,78,55.385966
74.817813,78,60.733114
74.439375,78,66.157826
74.562188,78,70.604323
75.629063,78,76.041623
75.380313,78,80.532403
74.429063,78,86.027752
75.913125,78,90.46542
73.8025,78,95.336274
92.177813,98,100.586117
37.432188,41,103.431355
93.222813,98,108.128014
10.325625,12,108.712761
37.167188,41,111.315342
92.459063,98,116.337825
92.059375,98,121.908054
9.713438,12,122.480038
37.98625,41,124.570164
36.761875,41,126.63896
9.783125,12,127.85351
91.723438,98,623.663294
93.234375,98,637.384824
93.066875,98,642.236704
9.17875,12,642.839621
92.423125,98,656.566084
91.855625,98,670.4601
93.79,98,675.665227
104.907793,111,690.100907
6.57375,8,690.494334
6.039062,8,690.933026
102.515606,111,705.217056
46.262321,51,707.769868
97.647309,105,721.821215
46.506696,51,724.366709
105.698106,111,738.733167
6.046875,8,739.140741
104.190918,111,753.594289
6.643437,8,753.990522
105.784981,111,759.81588
35.123552,39,770.420814
101.863418,111,776.070658
36.558552,39,786.764822
104.332481,111,792.246762
97.712934,105,806.427926
105.149043,111,820.779342
104.566231,111,826.42759
103.684043,111,1337.036738
33.917813,36,1338.810929
126.6375,134,1364.210325
34.235938,36,1384.575604
56.348437,60,1387.605292
27.390312,29,1389.039855
125.5,134,1414.141486
125.38125,134,1439.319865
127.550937,134,1464.886949
56.385,60,1467.874641
88.726562,95,1492.089632
126.909062,134,1517.225803
126.764062,134,1524.233867
87.79875,95,1547.476398
27.227812,29,1548.984461
126.501875,134,1574.505228
128.165625,134,1600.06992
127.109375,134,1625.572883
127.482187,134,1651.225644
85.641651,94,1656.026919
111.196721,127,2160.957751
148.274664,164,2187.487003
114.400783,127,2212.316822
93.849776,104,2236.228109
147.964352,164,2263.028974
88.244151,94,2267.880995
151.244977,164,2294.836444
148.436227,164,2321.557289
115.595158,127,2346.527985
67.895787,76,2368.830263
29.693735,32,2370.578521
149.637477,164,2397.699116
151.214039,164,2424.732195
29.360922,32,2426.392071
148.599352,164,2453.202147
155.249664,164,2480.05712
95.334151,104,2504.118376
150.144977,164,3014.114894
86.396026,94,3037.024219
119.081096,127,3043.985803
115.031096,127,3068.616041
8.550313,10,3069.190943
154.606227,164,3096.050193
151.296563,160,3123.101018
149.143438,159,3150.013862
136.144313,144,3175.775055
148.611563,160,3202.007762
150.579063,161,3228.422807
7.674375,9,3228.887245
150.894688,159,3255.307812
150.1025,159,3282.189184
148.54875,159,3308.71264
150.740938,159,3816.385575
150.847813,161,3843.348872
148.88875,161,3888.81231
150.6125,160,3915.970136
149.280938,161,3943.205634
152.034688,161,3970.558846
152.843125,160,3997.872244
150.340625,161,4025.145342
150.809375,160,4052.216312
152.720313,161,4079.150486
136.164938,144,4105.103125
147.201875,160,4132.473655
22.700688,26,4133.998431
153.197813,161,4161.159911
83.636563,88,4650.852168
152.9825,160,4677.781485
153.755938,161,4705.216423
150.252188,160,4751.109271
152.338438,161,4778.700417
153.866563,161,4806.011817
152.41125,160,4833.638549
154.23875,160,4861.251073
151.97625,160,4888.69983
154.47375,161,4916.197531
152.813438,161,4943.699646
151.448438,160,4971.182328
149.983125,160,4998.639762
152.418125,160,5513.029685
153.634375,161,5540.278628
153.361563,160,5567.631526
134.422438,144,5594.032753
153.858125,161,5621.141503
153.91125,159,5648.578854
155.571563,161,5676.127363
152.515625,160,5703.553932
154.128125,161,5731.290236
156.498125,161,5758.784744
150.83375,161,5786.217661
156.381563,161,5813.983583
156.244688,161,5841.6138
154.052813,161,6351.829021
155.007188,160,6379.243278
154.693125,160,6406.685267
155.188438,161,6434.578655
173.272492,179,6463.198615
175.10968,179,6491.40105
172.594992,179,6537.971722
172.558742,179,6566.676829
174.472492,179,6595.157394
175.138742,179,6623.785166
173.92843,179,6652.695854
173.622492,179,6681.246637
173.644367,179,7191.200856
174.871867,179,7238.007416
159.542222,164,7265.665301
201.890182,207,7295.846313
160.20691,164,7323.515437
200.15362,207,7354.006317
201.23362,207,7403.106302
201.17612,207,7433.542803
201.484557,207,7463.914849
201.430495,207,7512.563293
201.997995,207,8033.200141
201.861745,207,8062.516496
202.485182,207,8109.428461
201.982682,207,8139.129822
199.840035,206,8168.684746
200.51316,206,8215.95145
201.67066,206,8245.208169
196.625035,206,8274.722341
200.733473,206,8322.131948
198.349723,206,8352.023557
200.951598,206,8873.176309
201.65316,206,8920.420352
202.438785,206,8950.210509
98.687753,100,8973.803034
199.962223,206,9003.544553
145.66095,149,9029.80303
145.18845,149,9056.343876
229.222793,237,9088.382519
145.830013,149,9114.91491
144.793763,149,9141.593581
145.212513,148,9167.94988
145.691888,149,9194.376775
144.710638,148,9700.641842
228.935606,237,9750.021137
226.437168,237,9781.960349
145.086263,149,9808.375996
145.381263,149,9835.13626
145.366263,149,9861.91387
227.661856,237,9894.259968
145.978763,149,9920.990729
144.6997,149,9948.037603
228.927168,237,9997.587382
143.831263,148,10024.087995
144.962513,149,10050.722926
144.7547,148,10559.115724
229.011231,237,10591.383116
145.5972,149,10617.669919
144.629388,148,10644.690801
229.082168,237,10693.986201
144.637513,148,10720.785953
145.99345,149,10747.429628
145.351263,149,10774.332271
143.5347,148,10783.601915
146.0022,149,10810.384979
144.1897,148,10837.40696
145.745325,149,10864.268131
145.629388,149,11374.808908
144.321888,148,11401.052134
145.614075,149,11427.804164
145.3372,149,11454.00839
143.436888,148,11481.000448
144.692513,148,11507.914015
145.599075,149,11534.596106
145.451263,149,11561.51871
145.202825,149,11588.450282
145.544388,149,11615.456837
144.3222,148,11642.538849
229.544981,237,11674.848781
145.092825,149,11701.664898
144.451888,148,11728.560795
145.313138,149,12238.813357
144.6947,148,12265.94058
145.142513,149,12292.907772
143.421263,148,12319.873102
144.27095,148,12347.015343
228.312793,237,12397.390252
145.334075,149,12406.702577
227.670918,237,12456.934289
237.039375,245,12507.936656
237.01,245,12541.233236
238.787813,245,13073.028013
238.704063,245,13106.020647
235.468437,245,13156.775443
238.253438,245,13189.668792
238.754063,245,13240.524102
239.800625,245,13291.214722
237.895938,245,13323.967888
238.305625,245,13375.013843
262.58688,269,13409.597891
262.535005,269,13947.197719
261.586255,269,13999.510578
261.951567,269,14050.710782
262.019067,269,14085.244652
262.246255,269,14137.381314
262.432505,269,14189.366903
262.014692,269,14241.067946
262.83563,269,14767.544576
262.70563,269,14819.787036
278.002949,284,14872.838322
277.943574,284,14926.453668
277.177324,284,14962.050312
277.951386,284,15015.298239
276.474199,284,15068.539157
277.934824,284,15121.929223
276.932949,284,15659.460877
277.960136,284,15712.736608
277.812324,284,15747.493706
277.928886,284,15800.756825
259.692164,266,15852.452725
257.568102,266,15904.493103
259.656852,266,15939.07324
260.998102,266,16475.829962
261.934664,267,16527.380725
259.530602,266,16561.58266
260.840914,266,16613.340983
259.795914,266,16665.042191
258.613414,266,16717.16517
259.791227,266,16751.66329
259.251227,266,16803.385508
261.394977,266,17336.047024
261.474039,266,17370.506144
260.922477,266,17422.315679
260.838414,266,17474.062851
260.295289,266,17508.352847
261.878727,267,17560.681425
261.001227,266,17612.918306
260.320289,266,18151.471913
172.186339,175,18179.620724
261.534039,266,18214.119403
261.100602,266,18266.517471
261.437477,266,18319.091127
262.460602,267,18371.391491
261.675602,266,18406.275336
261.349352,266,18458.421553
261.767164,266,18992.133651
261.565289,266,19027.002162
261.281539,266,19079.297496
260.983102,266,19131.700765
261.508414,266,19166.448356
262.022789,266,19218.896058
261.611227,266,19271.069016
261.840602,266,19323.891368
261.627164,266,19839.600888
261.550289,266,19892.045774
262.264039,267,19944.622972
261.364039,266,19978.900066
261.778102,266,20031.474708
261.241227,266,20083.795302
260.900602,266,20135.928664
260.553102,266,20170.633172
262.737164,267,20719.973073
262.039664,266,20772.599519
261.801227,266,20807.277191
261.569664,266,20859.966979
261.742164,266,20912.567395
261.387477,266,20947.40498
262.790914,267,21000.621472
261.138414,266,21539.859096
261.174664,266,21592.065924
261.402164,266,21626.740008
261.060914,266,21678.566535
259.648414,266,21731.029828
261.688414,266,21765.479964
260.590289,266,21817.828121
262.311227,267,21870.201372
260.911852,266,22415.611378
260.128727,266,22449.734729
262.502477,267,22501.63439
261.554664,266,22553.630903
261.393102,266,22588.094318
261.680289,266,22640.278933
262.688727,267,22692.909223
262.322789,267,22727.832625
261.492477,266,23266.261741
260.321852,266,23318.650593
261.438727,266,23371.070459
262.719664,267,23405.410795
261.579977,266,23458.085351
261.757477,266,23510.500297
260.973102,266,23545.243789
261.263102,266,23597.956581
261.325914,266,24137.025115
262.294664,267,24188.769192
258.770289,266,24223.471569
262.771227,267,24275.451401
261.657789,266,24327.710701
261.530602,266,24362.53223
261.643102,266,24414.954722
261.119977,266,24953.509053
261.454352,266,24988.037214
261.419039,266,25040.615293
261.676539,267,25093.202427
262.575289,267,25145.595042
261.481539,266,25180.613155
260.867477,266,25232.920897
262.564977,267,25285.264616
261.491852,266,25803.16547
261.664352,266,25855.049084
261.062477,266,25907.283194
261.418727,266,25959.721461
261.676852,266,25994.663043
261.311852,266,26047.338595
261.428727,266,26100.348021
260.978727,266,26134.626143
261.570914,266,26673.022141
261.734977,266,26724.978236
261.276227,266,26759.678524
261.600914,266,26811.905522
261.358102,266,26864.878373
261.694039,266,26917.021297
261.379352,266,26952.044014
260.397477,266,27491.244069
258.599039,266,27543.426108
261.130289,266,27578.388786
260.558414,266,27630.455809
261.382164,266,27682.83163
262.324039,267,27735.411802
260.287164,266,27770.009442
261.600914,266,27822.368928
261.803102,266,28361.912496
261.603102,266,28396.614587
261.856852,266,28449.080556
261.038414,266,28501.685937
262.002789,266,28536.367398
261.557164,266,28589.092999
260.986227,266,28641.816648
261.627789,266,28695.123224
261.680602,267,29210.022084
261.722477,267,29262.553696
259.382477,266,29315.14859
262.275289,267,29350.277098
260.378727,266,29403.047809
260.640602,266,29455.610786
262.303727,267,29507.830131
263.081539,268,30023.157995
261.270914,266,30075.205053
260.722477,266,30127.981624
261.422477,266,30162.875304
261.026227,266,30215.529236
260.952789,266,30267.963042
260.465289,266,30320.672313
260.422477,266,30355.44717
261.378727,266,30890.840518
260.957164,266,30943.252875
261.677477,266,30977.903887
261.218414,266,31030.866248
259.756852,266,31083.42192
261.804039,266,31118.808665
261.902164,266,31171.635898
262.654664,267,31224.738802
261.098102,266,31758.473068
261.045289,266,31793.797617
261.536539,266,31846.739256
261.104977,266,31899.315315
261.501852,266,31934.330756
262.050289,267,31986.814923
261.980914,266,32039.310685
223.846277,230,32072.162213
260.529977,266,32607.876124
260.199977,266,32660.413621
260.595602,266,32695.288647
261.169664,266,32747.741877
261.220914,266,32800.500948
261.732477,266,32853.178257
261.729352,266,32888.329929
261.266539,266,33427.080227
259.857477,266,33479.800858
261.853102,266,33514.404342
261.624664,266,33567.086609
260.915602,266,33620.085134
261.309977,266,33654.691179
261.932477,266,33707.218427
261.044977,266,33759.825498
261.526852,266,34292.974312
260.567789,266,34327.753121
261.083727,266,34380.392232
261.119039,266,34433.271261
261.778414,266,34468.517035
260.723102,266,34521.279157
261.326852,266,34573.840321
260.764352,266,34608.677491
261.843414,266,35144.267554
260.967477,266,35197.115201
261.464039,266,35250.041831
261.697477,266,35285.035918
262.465914,267,35338.080824
261.872789,266,35391.321422
261.711227,266,35425.943405
261.515914,266,35959.038198
261.238414,266,36011.522754
261.438727,266,36064.376329
261.770289,266,36099.096416
261.991539,266,36151.081852
261.279664,266,36203.443273
260.958727,266,36238.158746
259.434352,266,36291.394045
259.894977,266,36823.436907
262.441852,268,36875.791127
260.005602,267,36910.573546
260.357789,267,36963.514758
260.230289,266,37016.514566
260.296852,266,37051.188335
261.106852,266,37104.587847
260.729039,266,37157.368762
260.752477,266,37676.121699
261.382789,266,37728.469533
259.074039,266,37781.049433
260.609977,266,37833.726403
261.180602,267,37868.542768
261.248102,266,37921.573807
260.274664,266,37974.188072
260.032477,266,38009.028522
260.165289,266,38547.929733
260.312164,266,38600.438434
259.982789,266,38652.685136
260.409039,266,38687.608495
259.947789,266,38740.887887
259.350914,266,38793.664898
260.436539,266,38828.457199
261.513727,266,39362.968871
260.465602,266,39416.154811
261.470914,267,39451.146781
261.425289,268,39504.199336
260.038102,267,39557.087069
259.066852,266,39610.040495
260.498414,266,39645.338701
260.536852,266,39698.356294
260.594352,266,40234.433318
260.951852,266,40269.637917
287.765914,296,40324.768078
260.615602,267,40377.972955
262.634664,267,40431.363937
289.503727,296,40486.029586
260.799664,266,40521.425638
260.743102,266,41053.340597
261.265914,266,41106.334645
261.928727,266,41141.781528
260.844039,266,41194.851778
260.329039,266,41247.720494
260.553102,266,41300.726628
