#{"t_start": 1690273305.6670308, "env_id": "None"}
r,l,t
209.023203,214,14.882315
208.461953,214,29.557235
209.262187,214,44.286066
208.64875,214,59.07162
209.770781,214,73.902731
209.220234,214,88.528085
209.261797,214,97.023188
208.969375,214,111.619661
208.729609,214,126.267886
209.038359,214,387.752333
259.964508,271,436.344255
263.172711,271,485.632202
262.789274,271,534.903445
264.849352,271,583.653242
263.005446,271,632.204192
264.528414,271,718.108618
263.198571,271,766.498852
264.000133,271,1110.324098
261.544664,271,1194.26032
262.538102,271,1278.41947
308.10618,315,1364.619991
309.548055,315,1451.491704
308.298446,315,1610.041973
309.549774,315,1696.977951
309.453368,315,1999.509474
309.793289,315,2043.126472
308.759227,315,2114.831015
310.144539,315,2157.93769
307.823446,315,2201.162327
307.759227,315,2245.265771
351.672065,363,2597.422227
354.797456,363,2658.934918
352.735581,363,2765.389453
353.308081,363,2827.83378
351.516362,363,2934.942923
353.191206,363,2997.330627
354.372222,363,3380.243912
353.418081,363,3450.148916
353.987378,363,3572.282152
355.10644,363,3642.123187
412.48849,424,3767.340523
414.08474,424,4104.696093
413.883803,424,4284.902219
411.517787,424,4467.116934
412.481459,424,4569.371766
413.694584,424,4753.356912
415.086459,424,5198.26697
415.02599,424,5379.224655
415.440756,424,5481.979392
414.825209,424,5664.358721
466.964071,476,5850.990083
469.453368,476,6258.695963
468.036962,476,6411.722717
466.109306,476,6566.858082
466.332899,476,6657.436239
466.746493,476,7071.300349
468.400009,476,7222.592387
466.84204,476,7374.775626
467.917821,476,7527.650825
468.270243,476,7943.284294
524.318273,534,8098.124327
524.405773,534,8251.787103
524.261632,534,8405.153751
524.93546,534,8868.909515
524.181241,534,9008.567749
525.751554,534,9147.632683
523.899757,534,9288.500245
525.953585,534,9690.289313
526.360851,534,9828.994906
526.320538,534,9967.078265
606.015747,615,10165.079421
605.294107,615,10597.403195
607.640435,615,10826.622483
606.278013,615,10991.500517
606.143091,615,11528.850527
606.668794,615,11743.346811
604.756763,615,12043.070333
605.233716,615,12519.602307
607.234107,615,12831.951792
607.839419,615,13053.441413
654.770453,666,13634.189263
653.36389,666,13864.986092
650.163812,666,14187.402733
651.425062,666,14510.058513
654.982797,666,14995.853945
656.237406,666,15317.380565
652.329203,666,15639.618079
647.583031,666,16123.92241
655.618578,666,16445.342635
644.936078,666,16768.100136
702.048613,713,17254.62294
694.474863,713,17584.884206
699.965878,713,17912.899456
694.552831,713,18485.29277
698.550097,713,18812.180189
693.990175,713,19395.390494
690.580956,713,19719.835855
692.751113,713,19952.50729
693.982363,713,20535.412646
695.160175,713,20848.100865
739.048047,771,21164.626861
742.089766,771,21745.672863
742.716719,771,22055.969448
740.1475,771,22368.847342
741.806328,771,22994.109998
741.9425,771,23283.607804
733.620547,771,23846.48114
739.235469,771,24172.596674
741.317969,771,24502.941847
738.629531,771,25093.6305
778.698314,807,25433.00452
772.720111,807,25779.88631
785.712845,807,26471.641002
776.321361,807,26814.455404
