topo,num_flows,seed,scheduler,is_scheduled,consuming_time
L5,40,2350,smt,True,112.27287936210632
L5,10,2350,smt,True,0.0
L5,20,2350,smt,True,0.0
L5,30,2350,smt,True,0.0
L5,60,2350,smt,True,277.5925703048706
L5,50,2350,smt,True,0.0
L5,70,2350,smt,True,382.3801188468933
L5,40,2351,smt,True,145.56611728668213
L5,10,2351,smt,True,0.0
L5,20,2351,smt,True,0.0
L5,30,2351,smt,True,0.0
L5,60,2351,smt,True,348.47523069381714
L5,50,2351,smt,True,0.0
L5,70,2351,smt,True,422.55777621269226
L5,40,2352,smt,True,89.36439180374146
L5,10,2352,smt,True,0.0
L5,20,2352,smt,True,0.0
L5,30,2352,smt,True,0.0
L5,60,2352,smt,True,280.81277322769165
L5,50,2352,smt,True,0.0
L5,70,2352,smt,True,403.03266644477844
L5,40,2353,smt,True,97.34786653518677
L5,10,2353,smt,True,0.0
L5,20,2353,smt,True,0.0
L5,30,2353,smt,True,0.0
L5,60,2353,smt,True,264.4995505809784
L5,50,2353,smt,True,0.0
L5,70,2353,smt,True,380.9332711696625
L5,40,2354,smt,True,89.22421550750732
L5,10,2354,smt,True,0.0
L5,20,2354,smt,True,0.0
L5,30,2354,smt,True,0.0
L5,60,2354,smt,True,217.52947163581848
L5,50,2354,smt,True,0.0
L5,70,2354,smt,True,317.72421526908875
L5,40,2355,smt,True,86.47462296485901
L5,10,2355,smt,True,0.0
L5,20,2355,smt,True,0.0
L5,30,2355,smt,True,0.0
L5,60,2355,smt,True,320.61796522140503
L5,50,2355,smt,True,0.0
L5,70,2355,smt,True,362.15756487846375
L5,40,2356,smt,True,114.80800724029541
L5,10,2356,smt,True,0.0
L5,20,2356,smt,True,0.0
L5,30,2356,smt,True,0.0
L5,60,2356,smt,True,256.41969442367554
L5,50,2356,smt,True,0.0
L5,70,2356,smt,True,377.9272162914276
L5,40,2357,smt,True,75.15554022789001
L5,10,2357,smt,True,0.0
L5,20,2357,smt,True,0.0
L5,30,2357,smt,True,0.0
L5,60,2357,smt,True,202.18010473251343
L5,50,2357,smt,True,0.0
L5,70,2357,smt,True,303.5312035083771
L5,40,2358,smt,True,62.36503195762634
L5,10,2358,smt,True,0.0
L5,20,2358,smt,True,0.0
L5,30,2358,smt,True,0.0
L5,60,2358,smt,True,171.50625944137573
L5,50,2358,smt,True,0.0
L5,70,2358,smt,True,254.2413148880005
L5,40,2359,smt,True,78.52185916900635
L5,10,2359,smt,True,0.0
L5,20,2359,smt,True,0.0
L5,30,2359,smt,True,0.0
L5,60,2359,smt,True,260.43254351615906
L5,50,2359,smt,True,0.0
L5,70,2359,smt,True,422.1961715221405
L5,40,2350,smt_no_wait,True,148.19533157348633
L5,10,2350,smt_no_wait,True,0.0
L5,20,2350,smt_no_wait,True,0.0
L5,30,2350,smt_no_wait,True,0.0
L5,60,2350,smt_no_wait,True,320.0562148094177
L5,50,2350,smt_no_wait,True,0.0
L5,70,2350,smt_no_wait,True,431.9332113265991
L5,40,2351,smt_no_wait,True,160.19631171226501
L5,10,2351,smt_no_wait,True,0.0
L5,20,2351,smt_no_wait,True,0.0
L5,30,2351,smt_no_wait,True,0.0
L5,60,2351,smt_no_wait,True,334.71984481811523
L5,50,2351,smt_no_wait,True,0.0
L5,70,2351,smt_no_wait,True,444.17481780052185
L5,40,2352,smt_no_wait,True,116.74257469177246
L5,10,2352,smt_no_wait,True,0.0
L5,20,2352,smt_no_wait,True,0.0
L5,30,2352,smt_no_wait,True,0.0
L5,60,2352,smt_no_wait,True,309.50208592414856
L5,50,2352,smt_no_wait,True,0.0
L5,70,2352,smt_no_wait,True,424.7693033218384
L5,40,2353,smt_no_wait,True,117.98405456542969
L5,10,2353,smt_no_wait,True,0.0
L5,20,2353,smt_no_wait,True,0.0
L5,30,2353,smt_no_wait,True,0.0
L5,60,2353,smt_no_wait,True,293.8161964416504
L5,50,2353,smt_no_wait,True,0.0
L5,70,2353,smt_no_wait,True,426.47783374786377
L5,40,2354,smt_no_wait,True,100.23406052589417
L5,10,2354,smt_no_wait,True,0.0
L5,20,2354,smt_no_wait,True,0.0
L5,30,2354,smt_no_wait,True,0.0
L5,60,2354,smt_no_wait,True,227.64057230949402
L5,50,2354,smt_no_wait,True,0.0
L5,70,2354,smt_no_wait,True,340.87015867233276
L5,40,2355,smt_no_wait,True,108.52564835548401
L5,10,2355,smt_no_wait,True,0.0
L5,20,2355,smt_no_wait,True,0.0
L5,30,2355,smt_no_wait,True,0.0
L5,60,2355,smt_no_wait,True,352.8353600502014
L5,50,2355,smt_no_wait,True,0.0
L5,70,2355,smt_no_wait,True,398.37535524368286
L5,40,2356,smt_no_wait,True,136.41253757476807
L5,10,2356,smt_no_wait,True,0.0
L5,20,2356,smt_no_wait,True,0.0
L5,30,2356,smt_no_wait,True,0.0
L5,60,2356,smt_no_wait,True,289.131281375885
L5,50,2356,smt_no_wait,True,0.0
L5,70,2356,smt_no_wait,True,399.0198972225189
L5,40,2357,smt_no_wait,True,87.39199090003967
L5,10,2357,smt_no_wait,True,0.0
L5,20,2357,smt_no_wait,True,0.0
L5,30,2357,smt_no_wait,True,0.0
L5,60,2357,smt_no_wait,True,223.21899437904358
L5,50,2357,smt_no_wait,True,0.0
L5,70,2357,smt_no_wait,True,343.94095492362976
L5,40,2358,smt_no_wait,True,68.95393681526184
L5,10,2358,smt_no_wait,True,0.0
L5,20,2358,smt_no_wait,True,0.0
L5,30,2358,smt_no_wait,True,0.0
L5,60,2358,smt_no_wait,True,194.82253336906433
L5,50,2358,smt_no_wait,True,0.0
L5,70,2358,smt_no_wait,True,300.78935050964355
L5,40,2359,smt_no_wait,True,98.92628836631775
L5,10,2359,smt_no_wait,True,0.0
L5,20,2359,smt_no_wait,True,0.0
L5,30,2359,smt_no_wait,True,0.0
L5,60,2359,smt_no_wait,True,286.2955605983734
L5,50,2359,smt_no_wait,True,0.0
L5,70,2359,smt_no_wait,True,388.96528792381287
L5,40,2350,drl,False,300.00846672058105
L5,50,2350,drl,False,300.0
L5,60,2350,drl,False,300.0
L5,70,2350,drl,False,300.0
L5,20,2350,drl,True,0.6464028358459473
L5,10,2350,drl,True,0.0
L5,30,2350,drl,False,300.00598073005676
L5,40,2351,drl,False,300.0157949924469
L5,50,2351,drl,False,300.0
L5,60,2351,drl,False,300.0
L5,70,2351,drl,False,300.0
L5,20,2351,drl,True,0.6295750141143799
L5,10,2351,drl,True,0.0
L5,30,2351,drl,True,1.0992889404296875
L5,40,2352,drl,False,305.36243867874146
L5,50,2352,drl,False,300.0
L5,60,2352,drl,False,300.0
L5,70,2352,drl,False,300.0
L5,20,2352,drl,True,0.5518503189086914
L5,10,2352,drl,True,0.0
L5,30,2352,drl,False,302.1734502315521
