#{"t_start": 1690291572.0281768, "env_id": "None"}
r,l,t
219.00275,226,18.052798
254.034453,261,38.977029
220.206891,225,58.766237
226.752344,234,79.11046
220.757203,226,98.87408
227.800234,234,119.525177
220.571891,225,139.587004
219.279156,225,159.146303
252.549531,261,440.838026
220.265016,225,544.631298
254.166406,261,649.069435
220.722828,225,753.214154
219.768922,225,856.129462
255.692109,261,961.30783
251.757812,261,1066.194759
256.235391,261,1170.253671
218.516578,225,1272.680372
255.231641,261,1732.534458
220.833687,225,1916.471637
255.457344,261,2103.114561
221.706891,225,2287.782416
220.380094,226,2472.475721
222.510797,226,2484.162271
220.673609,225,2668.44416
255.138828,261,2855.108954
221.099312,225,3298.17596
219.790172,225,3496.308142
255.741016,261,3695.890873
318.327704,330,4086.154692
322.105048,330,4289.561747
322.94997,330,4494.335773
321.335673,330,4884.932053
222.147444,228,5155.133426
242.694866,247,5230.49423
322.663173,330,5372.949578
323.586532,330,5452.749855
312.054942,318,5533.667466
322.81161,330,5676.670728
322.297001,330,5758.657335
324.119892,330,6098.233722
324.136298,330,6242.604822
369.812656,378,6327.894094
368.819219,378,6475.517068
369.852656,378,6561.544877
369.804609,378,6709.198829
371.070391,378,7071.596824
370.444687,378,7255.088256
369.605156,378,7358.595693
370.599297,378,7541.62221
370.024531,378,7644.996269
370.915156,378,8112.308094
436.145289,444,8245.060032
436.545367,444,8482.328742
436.251773,444,8719.595309
436.374977,444,8956.435959
436.879742,444,9468.328879
436.955133,444,9610.844765
437.452867,444,9865.371593
436.740523,444,10120.962299
434.65357,444,10681.917001
437.720367,444,10874.877204
520.737031,530,11394.38046
520.982656,530,11754.795565
520.425234,530,12395.306159
521.886797,530,12805.719203
520.018828,530,13213.958759
521.50875,530,13622.641241
520.699766,530,14295.127868
521.078047,530,14621.376699
521.063125,530,15090.211242
522.84625,530,15417.220312
536.09869,546,16065.346905
537.322518,546,16518.744027
537.631424,546,16969.73717
538.48119,546,17422.882514
538.708768,546,18342.522808
537.77783,546,18801.952591
171.550525,174,18816.958694
538.55783,546,19480.235761
538.308846,546,20220.924133
539.050721,546,20714.511558
538.568377,546,21208.705987
630.757812,642,21934.521353
630.193984,642,22688.119326
631.974453,642,23396.63794
629.857656,642,23888.052012
631.971719,642,24860.172851
631.415234,642,25573.583336
632.861484,642,26072.614957
633.559766,642,27046.326129
632.84625,642,27543.250491
631.261094,642,28256.591215
670.568863,681,29231.025451
672.178628,681,29730.438874
668.124097,680,30444.523806
670.555269,681,31422.563308
671.263628,681,32142.415608
671.005738,681,32647.96954
670.752456,681,33630.182312
671.135659,681,34352.479882
671.167378,681,34861.998513
671.76855,681,35843.739135
671.247691,681,36554.674637
730.845312,740,37278.437666
729.506328,740,38259.973086
730.827656,740,38973.743334
733.214219,740,39689.830701
730.889922,740,40681.738332
730.334844,740,41412.74832
731.442969,740,42143.135935
731.429453,740,43118.092856
731.227187,740,43623.575265
731.052422,740,44601.639568
116.404099,119,44823.879467
798.442772,817,45555.102158
800.335662,817,46284.186848
801.483162,817,47497.376715
803.124725,817,48238.168131
800.847381,817,49258.547465
801.496209,817,50198.708851
800.122303,817,50929.941013
800.443631,817,51925.395837
801.478318,817,52669.066482
799.133865,817,53882.828641
855.80375,870,54623.952327
854.746562,870,55572.159836
853.563672,870,56570.358682
854.783203,870,57515.134626
855.563516,870,58526.339266
854.172266,870,59279.355866
853.071094,870,60506.009901
851.994531,870,61259.104413
853.663906,870,62223.341691
855.143594,870,63253.08935
940.495698,956,64266.661225
942.987495,956,65568.695841
942.388432,956,66574.396285
943.13312,956,67848.846043
396.021348,403,68119.39666
941.643198,956,69122.115896
