#{"t_start": 1690370121.484557, "env_id": "None"}
r,l,t
38.017187,42,9.358859
2.744375,4,9.533056
37.37375,42,11.042105
37.094375,42,12.416573
37.972813,42,14.905361
35.880625,42,16.363113
37.79625,42,17.588266
37.06375,42,19.151276
36.521875,42,21.537478
37.390937,42,22.816447
36.951875,42,24.300382
37.71625,42,25.660422
52.75601,55,28.382437
52.148197,55,30.23073
52.116947,55,33.008903
53.145385,55,34.873522
52.64101,55,36.640301
52.316635,55,39.509851
17.199959,19,40.121974
52.025697,55,42.146173
52.212885,55,44.067315
52.791947,55,46.873055
52.633822,55,48.708192
57.962813,63,51.766997
36.297188,40,53.097974
8.963125,11,53.425671
8.722813,11,53.847145
8.35875,11,54.212328
9.017188,11,54.732733
8.420625,11,55.156718
54.644687,63,58.24223
35.098438,40,59.835456
34.72125,40,61.271803
56.766563,63,63.634857
57.864688,63,67.132529
56.715625,63,69.547919
36.634375,40,72.090262
20.217812,24,73.004245
58.859375,63,75.43332
8.978125,11,75.85717
9.2575,11,76.298767
8.963125,11,76.68402
21.360312,24,77.519354
35.57125,40,80.419933
8.970313,11,80.780567
21.1625,24,81.639762
55.292188,63,84.091912
35.844688,40,86.603278
20.902812,24,87.820648
35.354375,40,89.272797
35.188125,40,90.775203
43.003438,48,93.558452
37.415,40,271.024189
58.039063,63,273.507607
57.687188,63,286.898628
59.794063,63,289.520839
23.59145,26,290.66597
71.798602,76,303.575491
22.979887,26,304.554179
71.131727,76,308.036639
51.815437,57,320.940763
70.905164,76,323.97579
24.138637,26,324.944832
71.543914,76,337.93175
52.663875,57,340.215375
70.550164,76,353.674113
71.129852,76,356.777311
53.196375,57,368.797217
70.898914,76,372.276529
71.596414,76,385.700069
70.357664,76,388.92582
52.411687,57,391.23142
69.341102,76,404.962721
84.239081,91,408.708861
85.514081,91,422.34794
60.612035,65,425.223333
84.825018,91,439.25366
59.914848,65,442.06337
39.888533,43,453.790807
38.537908,43,455.727448
59.472035,65,458.517824
85.645018,91,472.602499
84.751893,91,487.275875
84.693456,91,667.138046
84.580956,91,680.965843
86.654706,91,685.37425
84.923143,91,698.924705
86.938456,91,712.51427
88.173447,95,716.715528
87.83626,95,730.926511
88.115635,95,735.217386
86.80376,95,749.157228
90.174385,95,763.048229
86.537198,95,767.95064
87.668135,95,782.141006
88.952823,95,786.593007
88.702822,95,800.263362
86.883448,95,814.208184
88.388447,95,818.751987
103.056856,110,833.052067
100.047168,110,847.448512
48.956626,55,849.95098
82.610089,90,863.875413
79.589464,89,867.92882
49.652564,55,870.672942
82.804777,90,1060.911061
83.212589,90,1072.935788
81.449777,90,1077.556976
102.857481,110,1090.244969
81.417902,89,1094.369829
101.673106,110,1107.637306
103.862168,110,1120.255824
50.772876,55,1123.432015
81.791652,90,1135.775539
101.927793,110,1149.010251
103.667793,110,1154.856444
102.832168,110,1167.160325
82.773214,90,1179.243372
50.913189,55,1181.819838
100.498731,110,1195.551442
101.538418,110,1200.833287
108.337778,117,1214.049298
109.193091,117,1227.457445
107.794966,117,1241.506525
64.606198,71,1245.082697
109.765591,117,1257.877854
108.593091,117,1438.144974
110.076528,117,1453.780005
108.726528,117,1469.615736
110.459341,117,1485.729175
110.563403,117,1491.626308
111.535903,117,1507.273418
98.779077,108,1522.226179
122.881103,132,1538.652243
100.171889,107,1544.176971
100.556577,106,1559.790782
100.943764,107,1575.083435
100.701577,108,1590.92344
100.872514,107,1596.551377
98.677827,108,1611.723485
119.11954,132,1628.013608
120.836728,133,1644.956331
101.305014,111,1650.340167
101.104077,108,1666.007873
100.173764,108,1856.366236
125.183603,132,1873.295786
99.148764,108,1879.123105
123.441415,133,1895.772415
100.494389,106,1911.462943
105.663452,111,1917.267082
120.507353,132,1934.849475
100.301264,107,1950.27315
99.430014,106,1965.855734
102.447827,108,1971.526888
99.648452,108,1987.075204
101.031889,107,2002.191458
101.799702,111,2008.056395
102.337202,108,2024.21322
100.707827,107,2039.8355
101.845639,107,2054.840925
123.765478,133,2062.092766
101.659389,107,2077.575002
124.39329,133,2267.091139
101.859702,108,2281.196637
124.46079,132,2288.298061
99.676889,107,2302.458058
101.644077,108,2317.258241
120.894853,132,2332.819504
99.913139,108,2338.607493
120.949228,132,2354.973231
102.460327,108,2369.511965
102.792202,107,2383.717221
100.085639,107,2389.586101
105.208452,111,2404.609058
100.403452,108,2419.65025
