#{"t_start": 1689864741.944795, "env_id": "None"}
r,l,t
28.749375,32,13.54196
20.182187,22,14.204112
19.320312,22,14.836029
30.332187,33,15.767908
19.0025,22,16.391371
22.602812,25,17.099324
22.014062,25,17.816494
125.438438,108,20.894012
2.132187,4,21.004139
124.141562,108,24.101906
28.644375,32,25.005415
97.720625,92,27.639709
2.14,4,27.753116
28.251562,32,28.663475
19.58375,22,29.264631
27.749375,32,30.186741
21.64375,25,30.856187
70.268437,72,32.90245
29.00875,32,33.840415
125.375313,108,36.981305
2.752187,4,37.097797
122.814063,108,40.429473
2.744375,4,40.549107
30.096562,33,41.488835
70.66375,72,43.626471
20.182187,22,44.26065
18.973437,22,44.971024
21.370625,25,45.755481
2.744375,4,45.868549
2.14,4,45.982135
18.05125,22,46.633145
2.14,4,46.747686
98.526875,92,49.517139
2.132187,4,49.632374
28.669062,33,50.652005
122.918125,108,54.50599
28.926562,33,55.490269
125.02,108,59.393641
19.562187,22,60.027659
2.14,4,60.132436
2.14,4,60.338518
121.069062,108,63.799751
21.95,25,64.651288
2.752187,4,64.767855
28.839062,33,65.804216
29.52,32,66.88137
2.752187,4,67.002272
21.320312,25,67.811961
22.310312,25,68.520545
29.740937,33,69.626292
99.256875,92,72.389282
2.14,4,72.504136
2.132187,4,72.622061
2.752187,4,72.726706
124.740938,108,310.512511
124.17,108,314.07315
2.14,4,314.187806
2.752187,4,314.306293
19.345312,22,315.026033
21.305,25,315.777292
125.39,108,319.102974
152.51,123,322.907197
56.844688,57,324.764659
152.656563,123,328.347516
152.679063,123,332.117292
70.123125,69,334.118406
152.39375,123,337.76903
70.88875,69,339.879851
69.0975,69,342.023071
151.456562,123,345.757445
152.511563,123,349.534898
153.34875,123,353.212923
68.835938,69,355.203051
151.274688,123,358.841169
120.124063,107,362.112456
69.7425,69,364.205615
70.027812,69,366.2983
56.180938,57,368.04512
151.565938,123,607.668199
70.268125,69,609.691503
151.998438,123,613.500599
124.789375,112,616.887899
178.114062,144,621.395338
197.815625,150,625.913997
178.707187,143,630.25423
124.364063,112,633.698721
176.411875,140,637.942642
3.752187,5,638.078505
154.636562,127,642.059518
3.76,5,642.20444
199.309375,150,646.747886
186.75375,148,651.38782
179.43375,143,655.757511
152.846875,127,659.701349
180.590625,145,664.192256
180.325938,145,668.658788
180.532187,144,906.856329
199.492187,150,911.485929
200.55875,150,916.058588
180.318125,144,920.58144
198.94375,150,925.305116
199.464375,150,930.012905
199.0975,150,934.815369
198.88125,150,939.513363
200.598125,150,944.24618
199.01875,150,948.883048
42.644375,46,950.333582
224.7675,172,955.658963
140.399063,125,959.519835
222.159063,172,965.036699
138.028438,125,1202.374431
222.329375,172,1207.756861
52.603125,54,1209.415842
222.581875,172,1214.938987
224.00625,172,1220.541117
141.4825,125,1224.558262
142.43625,125,1228.670559
139.0475,125,1232.638203
223.845,172,1238.00054
141.921563,125,1242.096958
225.074375,172,1247.614947
139.25625,125,1251.516339
139.656563,125,1255.678644
62.06125,63,1257.726552
223.65125,172,1263.150472
225.594063,172,1507.174577
226.73625,172,1512.416269
260.66625,189,1518.036462
263.363437,193,1524.026073
140.504375,124,1527.802825
261.248125,194,1533.746708
136.044687,120,1537.425067
260.124687,189,1543.201989
265.831875,194,1549.068863
135.983125,120,1552.72523
256.466563,188,1558.652327
257.153437,188,1564.362911
262.315937,194,1812.00525
220.882813,169,1817.225711
142.113125,124,1821.083323
296.331562,203,1827.461729
262.179375,189,1833.36092
296.364688,203,1839.554617
296.845937,203,1845.917683
262.820312,193,1851.867924
263.975937,194,1857.712458
259.8625,188,1863.428617
261.531875,189,1869.252444
