#{"t_start": 1690377799.9716249, "env_id": "None"}
r,l,t
32.030938,34,25.636486
5.698812,7,25.796377
5.718187,7,25.939157
32.289688,34,26.649649
32.182188,34,27.358541
32.690937,34,28.087618
31.735937,34,31.163911
32.364063,34,31.871799
5.098187,7,32.009098
31.960938,34,32.751037
31.262813,34,33.458282
31.774688,34,36.37127
30.605313,34,37.109786
39.188615,43,38.098419
7.726875,9,38.308029
15.200492,19,38.722839
7.430625,9,38.922484
15.580179,19,39.375064
7.422812,9,41.818786
43.893822,50,42.98005
35.530803,43,43.936893
16.061429,19,44.322345
30.986318,37,45.145275
16.589554,19,47.846681
30.790068,36,48.704583
43.678822,50,49.802161
31.784443,36,50.561869
44.43726,50,53.838901
44.394447,50,54.920285
15.487054,19,55.300897
15.233617,19,55.701127
32.151943,36,56.489901
7.422812,9,58.802993
19.763084,24,59.300903
44.993822,50,60.482434
38.345178,43,61.372169
38.450178,43,64.609062
43.20226,50,65.843269
44.454447,50,67.043907
45.287572,50,70.239143
15.992992,19,70.737746
31.931943,37,71.586866
16.387054,19,72.046016
7.726875,9,72.27877
7.725,9,72.506151
15.160804,19,72.926669
16.440492,19,73.373308
45.046322,50,76.618427
30.521318,37,77.448612
44.256322,50,78.648094
44.39851,50,81.94777
55.054375,58,83.312932
63.302813,67,84.868474
62.527813,67,88.593325
55.564688,58,89.955513
64.063438,67,93.524373
63.56375,67,95.207954
55.25875,58,96.576226
63.58375,67,371.671182
63.813125,67,373.44094
63.143125,67,383.314851
55.203125,58,384.840739
57.910313,61,386.491569
64.23625,67,396.440182
62.882188,67,398.290998
64.506875,67,408.138966
65.742352,73,410.114518
66.596727,73,419.993192
26.083637,30,420.809707
60.048226,68,422.596255
58.343851,66,432.210267
66.190789,73,434.204781
67.364852,73,444.077813
59.293539,66,446.010931
51.771375,58,447.595985
51.813562,58,457.266254
50.682937,58,458.863032
62.167601,68,469.064862
33.751991,36,470.086112
26.3427,30,470.952954
27.760428,32,471.933029
65.712664,73,482.198467
65.206102,73,484.294744
64.763602,73,494.636321
28.127616,32,495.449651
25.435512,30,496.397361
32.376678,36,497.428594
66.152039,73,507.573098
67.596414,73,509.643547
26.862387,30,510.521144
51.9145,58,519.917705
56.519164,66,521.779141
65.497039,73,531.87885
71.85359,79,803.824485
72.91109,79,815.169799
71.232652,79,817.425963
82.549706,88,829.09612
75.392027,81,831.606899
71.462652,78,843.172035
81.395331,88,845.879267
73.428277,79,857.154504
80.112518,88,859.784954
78.295152,85,871.376129
82.173143,88,882.962907
80.907206,88,885.616766
71.85859,79,897.040519
81.255956,88,899.671295
79.622206,88,911.334166
81.895643,88,913.93936
82.162831,88,925.696481
82.044393,88,928.443641
94.961573,101,940.415838
95.37751,101,952.639163
96.042198,101,955.776399
95.091573,101,967.895155
96.082823,101,980.025536
95.637823,101,1257.546474
96.36126,101,1268.81488
95.595635,101,1280.647649
95.845323,101,1283.631195
94.415635,101,1295.190154
106.470606,113,1307.194468
103.643418,113,1310.797876
104.923106,113,1322.925055
107.152793,113,1335.516182
80.597589,86,1338.236871
103.427793,113,1350.452985
93.552621,99,1362.00911
91.514809,98,1365.193937
84.725402,88,1376.231191
91.084809,98,1387.778615
106.514668,113,1391.31451
106.454043,113,1403.267554
80.958527,87,1414.337128
105.922481,113,1418.200536
92.007309,98,1429.848892
103.379043,110,1702.34402
106.722168,113,1706.185594
106.196543,113,1718.872276
106.537481,113,1731.304302
108.550278,118,1744.152322
100.184009,107,1747.83741
109.247153,118,1760.397237
109.923403,118,1773.252082
100.415884,107,1776.836724
105.447466,114,1789.125952
99.025571,108,1801.470816
102.199634,108,1813.554064
81.908759,86,1816.453193
101.045884,108,1828.556427
74.735321,80,1831.224812
109.708091,117,1843.692755
100.268696,108,1856.054902
80.494071,86,1858.92656
79.363446,85,1870.167864
101.654009,108,2150.881844
103.308716,110,2154.806392
100.922134,108,2167.704744
99.747759,108,2180.50448
103.876528,110,2184.427318
110.454966,118,2197.72234
101.822759,108,2211.006243
76.219696,80,2213.891918
109.434028,117,2227.722569
110.503091,117,2241.507727
102.899946,108,2245.210136
110.353716,118,2258.464597
108.584028,118,2271.634761
99.785259,106,2284.6258
109.363403,118,2288.953737
101.810259,108,2301.882944
79.582509,85,2314.34068
73.580009,79,2317.306281
82.809696,86,2329.560973
82.253134,86,2332.614768
111.043716,118,2612.343923
81.874071,86,2624.543637
101.443384,108,2628.580641
102.214946,108,2641.84828
100.188384,108,2655.362069
110.844966,118,2659.982606
101.153071,108,2673.266883
110.275278,118,2686.997622
112.244653,118,2700.760384
103.612466,110,2704.665188
101.650571,108,2717.721186
101.736528,110,2731.571192
102.064321,108,2735.674852
110.474341,118,2749.434027
111.856841,118,2763.295992
102.218071,108,2776.763743
112.490903,118,2781.33925
101.800259,108,2794.574002
103.154009,108,3072.206116
111.247466,118,3077.168735
112.886841,118,3091.423707
102.428696,108,3105.20597
113.424028,118,3119.271904
106.147466,111,3123.548618
112.223716,118,3137.277412
114.481897,120,3151.385419
87.557062,92,3164.454945
116.517209,123,3169.651382
116.509084,123,3184.362824
118.155959,124,3198.933196
119.243772,124,3213.81522
117.231584,123,3218.591419
97.726577,102,3232.095569
89.773,96,3245.217272
87.171437,92,3249.095362
114.476897,123,3263.970471
116.096584,123,3542.127434
87.923312,92,3555.344826
116.062209,123,3560.264784
117.333772,124,3574.640612
120.259397,124,3588.587981
119.528772,124,3602.803047
112.885022,117,3607.627615
119.658772,124,3621.887697
120.258772,124,3636.295428
116.306272,124,3650.627672
119.895334,125,3665.103835
117.664709,124,3670.26881
120.601584,124,3684.523453
118.864709,124,3699.005891
118.893147,124,3713.695442
118.697522,123,3727.843853
115.587834,123,3732.906184
103.983764,108,4027.287666
120.524084,124,4042.506208
119.077209,124,4057.143184
119.800334,125,4062.451564
118.590334,124,4076.854914
118.945647,124,4091.527818
118.180959,125,4106.340804
117.613459,124,4120.900193
121.305647,125,4125.936488
112.686272,117,4140.374304
117.805647,123,4154.763386
119.567834,123,4169.265106
119.538772,124,4183.724681
118.348459,123,4188.900731
120.394397,125,4203.989682
117.950647,123,4218.589144
120.246897,125,4233.566841
120.230647,124,4524.887098
118.780959,124,4530.62598
113.851897,117,4544.996873
120.570959,124,4560.569827
120.909084,124,4574.972111
118.517522,123,4580.337313
120.152209,123,4594.98686
120.731897,124,4610.075051
121.387209,124,4625.221169
119.777209,124,4639.911489
119.974084,124,4645.399166
120.352522,124,4660.40268
114.563772,119,4675.409928
111.816584,117,4689.682801
118.992522,124,4704.273579
118.717209,124,4710.158327
120.270959,124,4988.240225
121.250959,125,5003.217307
120.619709,124,5017.769897
120.278147,124,5032.744303
121.243459,124,5038.619705
118.986272,124,5054.039253
114.367522,117,5068.858695
121.138147,124,5083.513277
121.083147,124,5089.273028
120.603147,124,5104.268352
120.950334,124,5119.331218
120.942209,125,5134.863598
120.971584,124,5149.512535
120.370647,124,5155.699956
120.254709,124,5171.412067
120.964084,125,5186.962842
120.915334,124,5202.739182
120.811272,124,5482.971425
121.160647,124,5488.295963
120.263459,124,5503.058139
119.934397,123,5517.744629
121.585647,125,5532.561802
120.711584,124,5547.464337
120.538772,124,5553.676038
121.111272,124,5569.053187
120.383772,124,5583.932307
120.215959,124,5599.195483
121.028459,124,5614.188102
121.254709,124,5619.547256
120.928772,124,5635.132032
120.434709,124,5649.811357
120.929397,124,5665.183908
120.543772,124,5679.878841
118.216584,123,5936.695999
120.460959,124,5950.812505
120.652522,124,5964.904932
121.034709,124,5979.138115
121.984709,125,5993.273062
121.470334,124,5999.100758
121.307209,124,6013.244759
117.473147,120,6026.701523
89.109562,92,6031.041268
121.007522,124,6046.256827
120.606897,124,6060.460458
121.157834,124,6074.777379
120.948147,124,6088.729484
120.700334,124,6094.356325
121.105959,124,6108.030623
120.991272,125,6122.443892
120.138147,123,6137.064205
121.375022,124,6396.436073
121.268459,124,6401.910372
121.579709,124,6416.165795
120.850022,124,6430.715066
121.393459,124,6444.614552
121.013147,124,6458.49139
121.283459,124,6464.11078
121.659397,124,6477.648865
121.219709,124,6491.670641
121.214397,124,6506.090532
120.671584,124,6520.663795
121.465022,124,6526.178943
121.110022,124,6540.416754
121.220959,124,6554.115626
121.360022,124,6567.727925
122.479709,125,6582.288566
120.857209,124,6587.86097
122.050334,125,6853.683491
121.750022,124,6869.459828
121.275959,124,6883.806357
121.165647,124,6898.457328
121.555959,124,6904.175038
121.220959,124,6919.192117
121.548147,124,6933.978185
121.291584,124,6948.292826
121.517834,124,6953.588358
121.441584,124,6968.040237
121.321584,124,6982.571619
121.145334,124,6996.770792
122.097834,125,7011.466749
116.621272,119,7017.791505
121.247209,124,7032.676455
122.642522,125,7047.870484
121.449709,124,7322.04607
121.524709,124,7337.286589
121.445959,124,7343.441646
121.159397,124,7357.68947
120.913147,124,7372.138902
122.340022,125,7386.990426
121.286272,124,7401.683498
121.450334,124,7407.77975
120.496272,123,7422.564101
121.598147,124,7436.876541
121.336584,124,7450.713697
121.501272,124,7465.09839
121.880647,125,7470.842026
121.043459,124,7485.216102
122.009084,125,7500.21666
122.558147,125,7514.533502
120.170022,124,7528.702386
121.246272,124,7800.040965
120.952522,124,7814.61613
121.173147,124,7829.420601
121.424397,124,7844.253864
121.137209,124,7858.786529
122.449709,125,7864.899429
120.940647,124,7879.091616
121.379709,124,7893.968014
121.602834,124,7908.713557
121.067834,124,7923.947857
120.565022,123,7930.156434
122.378772,125,7944.438582
121.220959,124,7959.316331
121.244709,124,7974.01331
120.893772,124,7979.792124
120.833147,124,7994.990391
120.854397,124,8251.457842
121.533772,124,8266.267615
121.595022,124,8281.073348
121.688459,124,8286.402686
121.360959,124,8301.186018
122.118147,125,8316.093251
121.251272,124,8331.288708
121.381897,124,8346.575819
121.495022,124,8352.026876
121.244709,124,8366.677828
121.003147,124,8382.246102
120.752834,124,8396.830438
121.493459,124,8411.350347
121.461897,124,8416.892996
121.305647,124,8431.829313
120.417522,124,8447.354638
121.432209,124,8462.378577
120.999084,124,8719.357784
121.167209,124,8724.850449
121.524084,124,8739.651449
120.950959,124,8754.379605
120.887209,124,8768.860519
120.893772,124,8783.540602
121.399397,124,8789.070787
122.098459,125,8803.793278
121.172522,124,8818.984411
116.100959,119,8833.248889
121.454397,124,8848.062303
121.469397,124,8853.52916
121.673459,124,8868.284827
121.532834,124,8882.981822
121.077209,124,8897.368886
121.039084,124,8912.310024
121.118147,124,9158.486913
121.234084,124,9173.151467
121.767209,124,9187.352256
121.422209,124,9201.589854
121.345647,124,9207.002117
121.220647,124,9221.25793
121.077209,124,9235.329773
121.032522,124,9249.587505
121.182209,124,9263.662287
121.571272,124,9269.179512
121.197834,124,9283.564774
120.769084,124,9297.820511
121.576272,125,9312.631434
120.956897,124,9327.055275
121.601584,124,9332.323568
121.313147,124,9346.659273
120.898772,124,9360.882727
121.142209,124,9616.831433
121.447209,124,9630.678499
121.524709,124,9636.030943
121.665334,124,9650.065624
121.323772,124,9664.66581
121.383772,124,9678.80549
121.773772,124,9692.78647
121.270022,124,9698.144051
121.603147,124,9712.444848
121.494084,124,9726.491895
121.970959,125,9741.151216
121.624709,124,9755.226627
121.595647,124,9760.709455
121.524397,124,9774.875421
121.586897,124,9789.001196
121.610959,124,9802.895577
120.802522,124,10054.407067
121.402209,124,10060.069315
121.627209,124,10069.821907
121.331272,124,10079.379544
121.503772,124,10089.147005
120.226584,124,10099.084683
121.689084,124,10104.39262
121.432209,124,10114.336242
121.588459,124,10124.011245
121.643459,124,10133.917824
121.364397,124,10139.363128
121.619084,124,10149.060213
121.586897,124,10159.145747
121.502522,124,10168.721081
121.290022,124,10178.491473
120.553772,124,10183.991965
121.303772,124,10193.433335
121.360334,124,10447.625244
121.687209,124,10461.598918
121.253147,124,10475.38682
121.432209,124,10480.818486
121.292522,124,10494.808966
121.367522,124,10508.614701
121.389397,124,10523.224246
119.582834,123,10537.015445
121.476584,124,10542.711944
120.992834,124,10556.351162
121.875334,124,10570.196908
121.370022,124,10584.19786
121.375022,124,10598.053756
121.343459,124,10603.548957
121.577834,124,10617.717333
121.556272,124,10632.326832
121.454084,124,10887.817152
121.710647,124,10901.436263
121.265647,124,10906.89822
121.718772,124,10920.6812
121.460959,124,10934.456652
121.405022,124,10948.537019
121.569709,124,10962.378473
121.405647,124,10967.906775
89.567062,92,10980.300984
121.491897,124,10994.216401
121.242522,124,11008.084594
121.437522,124,11013.698083
119.625334,124,11027.237463
121.072522,124,11041.096224
121.508459,124,11054.863281
121.603459,124,11060.204686
121.679397,124,11073.874671
122.510647,125,11328.828839
120.997209,124,11338.672132
121.381897,124,11348.579967
121.486272,124,11353.992376
120.856272,124,11363.884795
121.620022,124,11373.877493
121.501584,124,11383.589622
121.246584,124,11393.675688
121.640022,124,11399.284756
122.208147,125,11409.015016
121.851897,124,11418.914438
121.288459,124,11428.807783
121.447522,124,11438.596006
122.440334,125,11444.277747
121.733459,124,11454.193063
121.337522,124,11464.008534
121.867209,124,11473.833375
121.561272,124,11723.881202
121.553147,124,11729.315253
121.183459,124,11739.189892
121.525647,124,11749.138174
120.802834,124,11758.947869
121.121897,124,11768.896121
121.221584,124,11774.510369
121.502209,124,11784.334745
121.445022,124,11794.432024
121.617834,124,11804.333042
121.035022,124,11814.537163
121.267834,124,11820.060511
121.483459,124,11830.004619
121.190334,124,11840.0147
121.215334,124,11850.082225
121.153147,124,11860.102674
121.451897,124,12107.761325
121.290959,124,12117.575048
121.906584,124,12127.821371
121.353147,124,12137.676445
118.912209,123,12143.153709
121.213147,124,12153.199487
121.515334,124,12163.172498
121.407522,124,12173.133751
122.417522,125,12183.154903
121.523147,124,12188.577717
121.719084,124,12198.727532
121.421272,124,12208.874334
121.429084,124,12218.823654
120.645959,124,12228.685304
121.679397,124,12234.193061
121.368772,124,12244.24766
121.197522,124,12254.178871
121.702522,124,12513.885754
121.655647,124,12528.169207
121.820334,124,12533.681552
121.475959,124,12548.094018
121.454709,124,12562.203145
121.467834,124,12576.604154
121.577834,124,12590.807946
121.569397,124,12596.208637
121.436897,124,12610.439456
121.555959,124,12624.892467
121.663772,124,12639.457556
121.640334,124,12653.6078
121.742209,124,12659.343544
121.710334,124,12673.527032
121.694709,124,12687.847149
121.671272,124,12702.257957
121.655959,124,12962.120862
121.695022,124,12967.656729
121.742834,124,12981.885554
121.549084,124,12996.426523
121.381584,124,13010.916574
121.538772,124,13025.156083
121.757522,124,13030.780816
120.996897,124,13045.043404
121.436584,124,13059.313828
121.679084,124,13073.803602
121.734084,124,13088.335198
121.679397,124,13093.910869
121.757522,124,13108.291646
121.631897,124,13122.59967
121.640334,124,13137.118814
121.608772,124,13142.953009
121.670959,124,13157.437405
121.491584,124,13407.231046
121.546272,124,13417.267252
121.679709,124,13427.09943
121.259397,124,13432.634746
121.475959,124,13442.803792
121.648147,124,13452.996156
121.695022,124,13463.012121
121.615959,124,13473.022621
121.780959,124,13478.761235
