2023-07-26 21:22:59,076 - root - INFO - Namespace(time_steps=10000000, num_flows=50, debug=False, num_envs=64, alg='PPO', model=None, topo='L5', link_rate=100)
2023-07-26 21:22:59,076 - root - INFO - start training...
2023-07-27 06:48:33,922 - root - INFO - ------Finish learning------
2023-07-27 06:48:33,923 - root - INFO - Execution time of train(): 33934.84673786163 seconds
2023-07-27 06:48:34,200 - matplotlib.pyplot - DEBUG - Loaded backend agg version v2.2.
2023-07-27 06:48:34,204 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2023-07-27 06:48:34,204 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,204 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2023-07-27 06:48:34,205 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
